id1	id2	weight
Zm00001d015348	Zm00001d006010	0.999171156284519
Zm00001d014244	Zm00001d006148	0.994212500699119
ZeamMp176	Zm00001d013034	1
Zm00001d032112	Zm00001d042869	0.999171156284519
Zm00001d048689	Zm00001d053931	0.995862645549995
Zm00001d013201	Zm00001d006900	0.994212500699119
ZeamMp030	Zm00001d031636	1
Zm00001d014423	Zm00001d037886	1
Zm00001d006769	Zm00001d026144	1
Zm00001d039439	Zm00001d050737	1
Zm00001d044478	Zm00001d034761	1
Zm00001d006417	Zm00001d051600	0.999171156284519
Zm00001d048505	Zm00001d045231	0.995862645549995
Zm00001d021404	Zm00001d053179	0.989278453775669
Zm00001d031832	Zm00001d038449	1
Zm00001d052307	Zm00001d011357	1
Zm00001d043309	Zm00001d026068	0.999171156284519
Zm00001d030518	Zm00001d033210	1
Zm00001d005100	Zm00001d026361	1
Zm00001d034510	Zm00001d025913	1
Zm00001d028509	Zm00001d015006	0.995037231054749
Zm00001d027302	Zm00001d051272	0.974622746733418
Zm00001d005856	Zm00001d006296	0.999171156284519
Zm00001d028894	Zm00001d024729	0.998342999550943
Zm00001d003372	Zm00001d033484	0.999171156284519
Zm00001d022618	Zm00001d039039	0.999171156284519
Zm00001d052804	Zm00001d042184	0.968178983528936
Zm00001d003031	Zm00001d039274	1
Zm00001d042780	Zm00001d040029	1
Zm00001d047618	Zm00001d002538	1
Zm00001d021452	Zm00001d044600	1
Zm00001d034630	Zm00001d002978	1
Zm00001d042979	Zm00001d012958	1
Zm00001d045581	Zm00001d019155	1
Zm00001d021389	Zm00001d030774	1
ZemaCp015	Zm00001d033746	1
Zm00001d008663	Zm00001d008288	0.967376514462977
Zm00001d014683	Zm00001d042772	0.999171156284519
Zm00001d014761	Zm00001d035270	1
Zm00001d041354	Zm00001d020053	1
Zm00001d049557	Zm00001d037886	0.994212500699119
Zm00001d012061	Zm00001d023504	1
Zm00001d032989	Zm00001d031660	0.998342999550943
ZemaCp013	Zm00001d007670	0.996688744752374
Zm00001d047889	Zm00001d006160	1
Zm00001d018542	Zm00001d033396	1
Zm00001d035455	Zm00001d017409	1
Zm00001d044426	Zm00001d000279	0.994212500699119
Zm00001d028397	Zm00001d038133	0.999171156284519
Zm00001d049494	Zm00001d009474	1
Zm00001d031861	Zm00001d034387	0.996688744752374
Zm00001d034047	Zm00001d011606	1
Zm00001d051842	Zm00001d005271	1
Zm00001d028547	Zm00001d022388	1
Zm00001d028818	Zm00001d049267	1
Zm00001d026540	Zm00001d004120	1
Zm00001d032112	Zm00001d021314	1
Zm00001d029973	Zm00001d020450	1
Zm00001d034799	Zm00001d052003	1
Zm00001d011355	Zm00001d048132	1
Zm00001d048442	Zm00001d043370	1
Zm00001d048338	Zm00001d025680	1
Zm00001d018199	Zm00001d006344	0.998342999550943
Zm00001d014344	Zm00001d017047	1
Zm00001d005106	Zm00001d000270	1
Zm00001d017174	Zm00001d019595	1
Zm00001d020549	Zm00001d002944	1
Zm00001d039120	Zm00001d031429	1
Zm00001d041445	Zm00001d024340	1
Zm00001d049399	Zm00001d047676	1
Zm00001d005323	Zm00001d000021	1
Zm00001d026137	Zm00001d019191	0.997515529229871
Zm00001d040036	Zm00001d044754	1
Zm00001d020642	Zm00001d039395	0.997515529229871
Zm00001d016606	Zm00001d031913	1
Zm00001d009424	Zm00001d033447	1
Zm00001d013335	Zm00001d050411	1
Zm00001d037369	Zm00001d019253	1
Zm00001d020642	ZemaCp011	0.999171156284519
Zm00001d006176	Zm00001d053863	1
Zm00001d023507	Zm00001d041457	1
Zm00001d020851	Zm00001d042747	1
Zm00001d026485	Zm00001d049543	1
Zm00001d007077	Zm00001d002032	1
Zm00001d039400	Zm00001d014365	1
Zm00001d010470	Zm00001d013568	0.993388453916062
Zm00001d048272	Zm00001d028408	1
Zm00001d048040	Zm00001d035124	0.997515529229871
Zm00001d010566	Zm00001d048253	1
Zm00001d034665	Zm00001d047893	0.999171156284519
Zm00001d006438	Zm00001d018981	0.990099091185102
Zm00001d030688	Zm00001d010054	0.999171156284519
Zm00001d028701	Zm00001d014852	1
Zm00001d048540	Zm00001d028201	1
Zm00001d009983	Zm00001d011447	1
Zm00001d011981	Zm00001d007435	1
Zm00001d026296	Zm00001d046190	1
Zm00001d039196	Zm00001d036293	0.962575648338635
Zm00001d015020	Zm00001d042667	1
Zm00001d011713	Zm00001d007599	1
Zm00001d006084	Zm00001d002388	1
Zm00001d012155	Zm00001d006402	1
Zm00001d018151	Zm00001d049767	0.998342999550943
Zm00001d043834	Zm00001d032830	1
Zm00001d016935	Zm00001d007810	1
Zm00001d045042	Zm00001d045042	1
Zm00001d046913	Zm00001d024327	1
Zm00001d014244	Zm00001d018277	0.999171156284519
Zm00001d030152	Zm00001d011610	1
Zm00001d006693	Zm00001d009182	1
Zm00001d012921	Zm00001d027373	1
Zm00001d048017	Zm00001d008731	1
Zm00001d002814	Zm00001d017271	1
Zm00001d039928	Zm00001d004057	1
Zm00001d010818	Zm00001d029938	1
Zm00001d030152	Zm00001d019279	0.999171156284519
Zm00001d008789	Zm00001d052101	1
Zm00001d053954	Zm00001d003962	1
Zm00001d019217	Zm00001d005642	1
Zm00001d033654	Zm00001d051016	0.999171156284519
Zm00001d014341	Zm00001d000279	0.995862645549995
Zm00001d034080	Zm00001d019561	1
Zm00001d046835	Zm00001d016491	1
Zm00001d015990	ZeamMp113	1
Zm00001d038200	Zm00001d047498	1
Zm00001d034497	Zm00001d034108	1
Zm00001d040234	Zm00001d029783	1
Zm00001d011159	Zm00001d035199	1
Zm00001d020939	Zm00001d048526	1
Zm00001d052566	Zm00001d009125	0.993388453916062
Zm00001d049019	Zm00001d011500	1
Zm00001d008874	Zm00001d041775	0.995862645549995
Zm00001d021553	Zm00001d050633	1
Zm00001d004972	Zm00001d051595	0.999171156284519
Zm00001d003250	Zm00001d020983	0.990099091185102
Zm00001d019789	Zm00001d004689	1
Zm00001d024298	Zm00001d050056	0.999171156284519
Zm00001d000023	Zm00001d047282	1
Zm00001d037601	Zm00001d022307	1
ZeamMp176	Zm00001d019125	1
Zm00001d024268	Zm00001d048551	1
Zm00001d000110	Zm00001d041608	1
Zm00001d052072	Zm00001d053827	1
Zm00001d003089	Zm00001d043149	1
Zm00001d050800	Zm00001d043962	1
Zm00001d047044	Zm00001d038734	1
Zm00001d003200	Zm00001d053595	1
Zm00001d048424	Zm00001d006439	1
Zm00001d020230	Zm00001d039372	1
Zm00001d010271	Zm00001d042804	1
Zm00001d014272	Zm00001d017087	1
Zm00001d008396	Zm00001d000279	1
Zm00001d005759	Zm00001d009870	1
Zm00001d003477	Zm00001d036425	1
Zm00001d032380	Zm00001d000279	0.999171156284519
Zm00001d029647	Zm00001d050324	0.999171156284519
Zm00001d039916	Zm00001d035468	1
Zm00001d031817	Zm00001d044246	1
Zm00001d049628	Zm00001d037499	1
Zm00001d024830	Zm00001d014500	1
Zm00001d030766	Zm00001d039365	1
Zm00001d006496	Zm00001d017242	0.999171156284519
Zm00001d037484	Zm00001d050250	0.999171156284519
Zm00001d026540	Zm00001d031205	1
Zm00001d005502	Zm00001d051929	0.998342999550943
Zm00001d012923	Zm00001d022516	0.989278453775669
Zm00001d043613	Zm00001d013797	0.999171156284519
Zm00001d042306	Zm00001d053620	1
Zm00001d048040	Zm00001d022569	1
Zm00001d006499	Zm00001d043049	0.999171156284519
Zm00001d049251	Zm00001d037603	1
Zm00001d032859	Zm00001d043514	1
Zm00001d011721	Zm00001d019805	0.999171156284519
Zm00001d006030	Zm00001d048165	1
Zm00001d012233	Zm00001d024518	1
Zm00001d021376	Zm00001d040076	1
ZemaCp015	Zm00001d039120	0.998342999550943
Zm00001d049083	Zm00001d010413	1
Zm00001d002135	Zm00001d021061	1
Zm00001d019664	Zm00001d028905	0.999171156284519
Zm00001d046120	Zm00001d038525	1
Zm00001d008640	Zm00001d013019	0.998342999550943
Zm00001d053834	Zm00001d053228	1
Zm00001d001865	Zm00001d001865	1
Zm00001d040446	Zm00001d038712	1
Zm00001d047044	Zm00001d038194	0.999171156284519
Zm00001d004517	Zm00001d017222	1
Zm00001d036013	Zm00001d029567	1
Zm00001d018957	Zm00001d033788	1
Zm00001d031659	Zm00001d038378	1
Zm00001d036959	Zm00001d040561	1
Zm00001d016181	Zm00001d019926	0.999171156284519
Zm00001d023218	Zm00001d022172	1
Zm00001d003958	ZemaCp028	0.994212500699119
Zm00001d028701	Zm00001d051405	0.999171156284519
Zm00001d053313	Zm00001d039041	1
Zm00001d006055	Zm00001d008203	0.999171156284519
Zm00001d039012	Zm00001d041593	1
Zm00001d001864	Zm00001d011512	1
Zm00001d010271	Zm00001d037245	1
Zm00001d048409	Zm00001d017877	1
Zm00001d003713	Zm00001d051644	1
Zm00001d008380	Zm00001d010322	0.999171156284519
Zm00001d028238	Zm00001d041191	1
Zm00001d007768	Zm00001d014779	1
Zm00001d045665	Zm00001d027756	1
Zm00001d007300	Zm00001d007815	1
Zm00001d012061	Zm00001d033895	1
Zm00001d032989	Zm00001d028693	1
Zm00001d032361	Zm00001d006125	0.996688744752374
Zm00001d004620	Zm00001d041243	1
Zm00001d026641	Zm00001d052719	0.998342999550943
Zm00001d043309	Zm00001d052698	0.990099091185102
Zm00001d033250	Zm00001d017485	1
Zm00001d010135	Zm00001d047191	1
Zm00001d047961	Zm00001d041760	1
Zm00001d003089	Zm00001d026599	1
Zm00001d036904	Zm00001d038217	1
Zm00001d026362	Zm00001d041595	1
Zm00001d041511	Zm00001d053822	0.982737793688685
Zm00001d034675	Zm00001d034675	1
Zm00001d003051	Zm00001d028558	1
Zm00001d047755	ZeamMp092	1
Zm00001d015348	Zm00001d009417	0.995862645549995
Zm00001d037859	Zm00001d010920	0.999171156284519
Zm00001d027464	Zm00001d020134	1
Zm00001d042869	Zm00001d009669	0.999171156284519
Zm00001d047039	Zm00001d029968	1
Zm00001d033776	Zm00001d016977	0.998342999550943
ZemaCp015	Zm00001d025888	1
Zm00001d051842	Zm00001d014912	1
Zm00001d052231	Zm00001d017360	0.996688744752374
Zm00001d035090	Zm00001d030014	1
Zm00001d019949	Zm00001d040941	0.994212500699119
Zm00001d034768	Zm00001d037886	0.999171156284519
Zm00001d024268	Zm00001d007157	1
Zm00001d038570	Zm00001d043254	0.999171156284519
Zm00001d014811	Zm00001d002625	0.999171156284519
Zm00001d039546	Zm00001d048203	1
Zm00001d042329	Zm00001d042885	0.999171156284519
Zm00001d017769	Zm00001d050534	0.994212500699119
Zm00001d035666	Zm00001d008294	1
Zm00001d019397	Zm00001d045176	1
Zm00001d043137	Zm00001d049380	0.999171156284519
Zm00001d043653	Zm00001d031522	1
Zm00001d043662	Zm00001d024291	1
Zm00001d048272	Zm00001d029120	1
Zm00001d008925	Zm00001d036213	1
Zm00001d008396	Zm00001d041246	0.998342999550943
Zm00001d053895	Zm00001d042670	0.999171156284519
Zm00001d014765	Zm00001d047078	0.993388453916062
Zm00001d010614	Zm00001d010614	1
Zm00001d053753	Zm00001d028630	0.998342999550943
Zm00001d052329	Zm00001d038104	0.998342999550943
Zm00001d053675	Zm00001d013694	1
Zm00001d002618	Zm00001d006148	0.999171156284519
Zm00001d019125	Zm00001d022160	1
Zm00001d047776	Zm00001d032989	1
Zm00001d039787	Zm00001d043551	1
Zm00001d030518	Zm00001d036760	1
Zm00001d047694	Zm00001d013086	1
Zm00001d040116	Zm00001d017523	0.997515529229871
ZemaCp013	Zm00001d004785	0.999171156284519
Zm00001d028471	Zm00001d036567	1
ZemaCp019	Zm00001d001913	1
Zm00001d030614	Zm00001d014391	1
Zm00001d035751	Zm00001d028617	0.996688744752374
Zm00001d017103	Zm00001d012979	0.960980660057086
Zm00001d046937	Zm00001d008975	1
Zm00001d028786	Zm00001d034059	0.999171156284519
Zm00001d017174	Zm00001d039594	1
Zm00001d043104	Zm00001d029339	0.999171156284519
Zm00001d049867	Zm00001d049933	0.998342999550943
Zm00001d023530	Zm00001d002617	1
Zm00001d028568	Zm00001d031651	0.995862645549995
Zm00001d038905	Zm00001d003071	1
Zm00001d030152	Zm00001d035304	1
Zm00001d052468	Zm00001d026291	1
ZemaCp013	Zm00001d037495	1
Zm00001d044495	Zm00001d052683	1
Zm00001d043309	Zm00001d026578	0.990099091185102
Zm00001d022386	Zm00001d044315	1
Zm00001d034207	Zm00001d028948	1
Zm00001d022160	Zm00001d032859	0.999171156284519
Zm00001d042287	Zm00001d034039	1
Zm00001d029339	Zm00001d005090	1
Zm00001d053059	Zm00001d000279	0.999171156284519
Zm00001d037313	Zm00001d019605	1
Zm00001d039460	Zm00001d022462	1
Zm00001d020939	ZemaCp036	0.999171156284519
Zm00001d017798	Zm00001d000418	1
Zm00001d026137	Zm00001d045431	1
Zm00001d032933	Zm00001d010454	1
Zm00001d008599	Zm00001d000432	1
Zm00001d052624	Zm00001d033925	1
Zm00001d039496	Zm00001d047651	1
Zm00001d048862	Zm00001d051135	1
Zm00001d019650	Zm00001d050357	0.999171156284519
Zm00001d034790	Zm00001d028244	1
Zm00001d028363	Zm00001d013040	0.967376514462977
Zm00001d036660	Zm00001d012652	1
Zm00001d041138	Zm00001d026317	1
Zm00001d020939	Zm00001d049362	1
Zm00001d008403	Zm00001d046930	1
Zm00001d006079	Zm00001d045139	1
Zm00001d050244	Zm00001d017601	1
Zm00001d014161	Zm00001d028201	1
Zm00001d008679	Zm00001d036565	0.999171156284519
Zm00001d010135	Zm00001d007031	1
Zm00001d003817	Zm00001d052602	1
Zm00001d030995	Zm00001d005157	1
Zm00001d052721	Zm00001d033484	1
Zm00001d004972	Zm00001d037877	0.997515529229871
Zm00001d039012	Zm00001d039663	1
Zm00001d006704	Zm00001d010758	0.999171156284519
Zm00001d017480	Zm00001d014327	1
Zm00001d014271	Zm00001d014719	1
Zm00001d028244	Zm00001d034000	1
Zm00001d053834	Zm00001d048158	1
Zm00001d034760	Zm00001d022042	0.995037231054749
Zm00001d028984	Zm00001d017850	1
ZeamMp030	Zm00001d052657	1
Zm00001d046016	Zm00001d018864	0.999171156284519
Zm00001d009787	Zm00001d033575	1
Zm00001d038404	Zm00001d037720	1
Zm00001d034702	ZemaCp024	1
Zm00001d014244	Zm00001d034790	0.998342999550943
Zm00001d028867	Zm00001d048363	1
Zm00001d022160	Zm00001d009640	1
Zm00001d013040	Zm00001d018770	1
Zm00001d049083	Zm00001d014880	0.999171156284519
Zm00001d022584	Zm00001d044243	0.999171156284519
Zm00001d015284	Zm00001d003128	0.993388453916062
Zm00001d034047	Zm00001d039684	0.993388453916062
Zm00001d014898	Zm00001d038961	0.993388453916062
Zm00001d009787	Zm00001d029976	1
Zm00001d020230	Zm00001d038745	1
Zm00001d003052	Zm00001d020659	0.998342999550943
Zm00001d029055	Zm00001d042966	0.999171156284519
Zm00001d036648	Zm00001d020178	1
Zm00001d034047	Zm00001d017252	1
Zm00001d037408	Zm00001d026254	0.999171156284519
Zm00001d042979	Zm00001d020137	0.999171156284519
Zm00001d007118	Zm00001d019155	1
Zm00001d011617	Zm00001d036092	0.998342999550943
Zm00001d003947	Zm00001d011816	1
Zm00001d005105	Zm00001d012776	0.998342999550943
Zm00001d027464	Zm00001d024009	1
ZemaCp019	Zm00001d048368	0.996688744752374
Zm00001d046517	Zm00001d024699	0.993388453916062
Zm00001d008679	Zm00001d006942	1
Zm00001d047362	Zm00001d038745	1
Zm00001d036151	Zm00001d037275	0.999171156284519
Zm00001d005547	Zm00001d004052	1
Zm00001d048017	Zm00001d022588	1
Zm00001d010282	Zm00001d028668	1
Zm00001d048424	Zm00001d040364	1
Zm00001d026022	Zm00001d013010	1
Zm00001d006864	Zm00001d020580	1
Zm00001d029647	Zm00001d012446	1
Zm00001d000153	Zm00001d018742	1
Zm00001d015571	Zm00001d049387	1
Zm00001d020543	Zm00001d007062	0.998342999550943
Zm00001d037239	ZeamMp030	1
Zm00001d009088	Zm00001d019283	0.98763921893352
Zm00001d028509	Zm00001d021046	0.997515529229871
Zm00001d032283	Zm00001d012088	1
Zm00001d000379	Zm00001d033159	1
ZeamMp176	Zm00001d003334	1
Zm00001d042331	Zm00001d015423	0.997515529229871
Zm00001d006704	Zm00001d049239	1
Zm00001d026203	Zm00001d053919	1
Zm00001d038587	Zm00001d018755	1
Zm00001d011706	Zm00001d048065	1
Zm00001d046549	Zm00001d028695	0.958593131696515
Zm00001d014765	Zm00001d014090	0.999171156284519
Zm00001d028339	Zm00001d035637	0.986002700304241
Zm00001d003368	Zm00001d049305	0.997515529229871
Zm00001d012160	Zm00001d000001	0.977050199394763
Zm00001d024268	Zm00001d026368	1
Zm00001d004055	Zm00001d036565	1
Zm00001d030614	Zm00001d045042	1
Zm00001d009840	Zm00001d008875	0.998342999550943
Zm00001d001800	Zm00001d045417	1
Zm00001d007698	Zm00001d041645	0.998342999550943
Zm00001d051039	Zm00001d033128	0.997515529229871
Zm00001d006246	Zm00001d021126	1
Zm00001d018568	Zm00001d021541	1
Zm00001d010670	Zm00001d053746	1
Zm00001d006168	Zm00001d052312	1
Zm00001d034758	Zm00001d044301	0.999171156284519
Zm00001d034665	Zm00001d002511	0.999171156284519
Zm00001d026246	Zm00001d003322	1
Zm00001d029490	Zm00001d016491	0.999171156284519
Zm00001d004009	Zm00001d035029	1
Zm00001d024364	Zm00001d006461	0.994212500699119
Zm00001d044844	Zm00001d029555	0.977860693084842
Zm00001d028654	Zm00001d013009	0.985185458162647
Zm00001d048415	Zm00001d013758	1
Zm00001d051219	Zm00001d021565	1
Zm00001d011180	Zm00001d034698	1
Zm00001d035666	ZeamMp032	1
Zm00001d019520	Zm00001d028782	1
Zm00001d045596	Zm00001d025837	1
Zm00001d040475	Zm00001d030116	1
Zm00001d033954	Zm00001d028373	0.999171156284519
