Gene	Co-expression	Co-translation	Interactome
Zm00001d039886	0	0	1
Zm00001d049305	0	1	1
Zm00001d033484	0	0	1
Zm00001d034254	0	0	1
Zm00001d004936	0	0	1
Zm00001d020230	0	0	1
Zm00001d035312	0	0	1
Zm00001d036233	0	0	1
Zm00001d047282	1	0	1
Zm00001d008380	0	0	1
Zm00001d049083	0	0	1
Zm00001d029041	0	0	1
Zm00001d023218	0	0	1
Zm00001d042308	0	1	1
Zm00001d042380	0	0	1
Zm00001d049628	0	0	1
Zm00001d028786	0	0	1
Zm00001d033792	0	0	1
Zm00001d048611	0	0	1
Zm00001d049379	0	0	1
Zm00001d020219	0	0	1
Zm00001d032112	0	0	1
Zm00001d038594	0	0	1
Zm00001d029417	0	0	1
Zm00001d018957	0	1	1
Zm00001d038644	0	1	1
Zm00001d016410	1	1	1
Zm00001d042306	0	0	1
Zm00001d049933	0	0	1
Zm00001d017363	0	0	1
Zm00001d019155	0	0	1
Zm00001d044495	0	0	1
Zm00001d003958	0	0	1
Zm00001d026691	0	0	1
Zm00001d014900	0	0	1
Zm00001d034931	0	0	1
Zm00001d024830	0	0	1
Zm00001d041064	0	0	1
Zm00001d011966	0	0	1
Zm00001d039349	0	0	1
Zm00001d044692	0	0	1
Zm00001d034799	0	0	1
Zm00001d015348	0	0	1
Zm00001d033378	0	0	1
Zm00001d048540	0	0	1
Zm00001d034790	0	0	1
Zm00001d053313	0	0	1
Zm00001d018668	0	0	1
Zm00001d005105	0	0	1
Zm00001d014811	0	0	1
Zm00001d026540	0	0	1
Zm00001d002618	0	0	1
Zm00001d031611	0	0	1
Zm00001d020201	1	0	1
Zm00001d038404	0	0	1
Zm00001d038988	1	1	1
Zm00001d024268	0	0	1
Zm00001d002252	0	1	1
Zm00001d009014	0	0	1
Zm00001d025413	0	0	1
Zm00001d021641	0	0	1
Zm00001d026137	0	0	1
Zm00001d001800	0	0	1
Zm00001d028084	0	0	1
Zm00001d033954	0	0	1
Zm00001d024049	0	0	1
Zm00001d014271	0	0	1
Zm00001d044696	0	0	1
Zm00001d036054	0	0	1
Zm00001d040696	0	0	1
Zm00001d051929	0	0	1
Zm00001d052231	0	0	1
Zm00001d039012	0	0	1
Zm00001d041889	1	1	1
Zm00001d053863	0	0	1
Zm00001d006704	0	0	1
Zm00001d014244	0	0	1
Zm00001d029055	0	0	1
Zm00001d051219	0	0	1
Zm00001d010262	0	0	1
Zm00001d017850	0	0	1
Zm00001d027752	0	0	1
Zm00001d035201	0	1	1
Zm00001d021838	0	0	1
Zm00001d011668	0	0	1
Zm00001d053658	0	0	1
Zm00001d021934	0	0	1
Zm00001d043843	0	0	1
Zm00001d044220	1	1	1
Zm00001d033654	0	0	1
Zm00001d045359	0	0	1
Zm00001d025776	0	0	1
Zm00001d006871	0	1	1
Zm00001d038865	0	0	1
