Gene	eccentricity	closeness	degree	eigen_centrality
ZmsRNA001419	8	0.00355739706956913	603	0.0499858983376274
ZmsRNA054208	8	0.00355776931657327	698	0.102276871226345
ZmsRNA054210	8	0.0035583881316011	919	0.141462238307021
ZmsRNA064077	8	0.0035593972009245	1869	0.29369091449033
ZmsRNA125080	8	0.00355438329938068	89	0.00477319567078798
ZmsRNA144301	8	0.00355835475863339	672	0.0880525011714972
ZmsRNA144364	8	0.00355808969331564	647	0.0759577871409301
ZmsRNA216071	8	0.00355766468530843	701	0.0681733271476978
ZmsRNA232488	8	0.00356223058283995	3951	0.593886527137222
ZmsRNA270612	8	0.00355824326712125	626	0.0809698059851514
ZmsRNA284741	8	0.00355361533635989	71	0.0025374608404511
ZmsRNA335565	8	0.00355762867234749	509	0.0637657021267102
ZmsRNA361208	8	0.00355707416480457	567	0.0803904801172492
GRMZM5G800980	8	0.0035594059284556	1715	0.218285974746196
Zm00001d000060	8	0.00356233168201527	4194	0.606832348395112
Zm00001d000070	8	0.00355568088924823	322	0.0251255411026917
Zm00001d000164	8	0.00356038444218209	2394	0.28751848804659
Zm00001d000260	8	0.00356192959972245	3810	0.543807846399022
Zm00001d000270	8	0.00356136805258298	3092	0.411198748188063
Zm00001d000272	8	0.00356088073673159	2838	0.400743828286814
Zm00001d000316	8	0.00356225984780056	3821	0.509193388213527
Zm00001d000318	9	0.00355273202198208	132	0.00301354846238029
Zm00001d000409	8	0.00355923404191811	1556	0.145239331078491
Zm00001d000414	8	0.00356013008315252	2374	0.332749377884227
Zm00001d001812	8	0.00355830204578921	1246	0.0908514088974708
Zm00001d001860	8	0.00355904130589996	1398	0.114035965826003
Zm00001d002351	8	0.0035586551378803	1071	0.114294696700141
Zm00001d002424	8	0.00355628306854355	203	0.0203364832387523
Zm00001d002454	8	0.0035601517212376	1932	0.215393302773186
Zm00001d002789	8	0.00355839950889227	1089	0.0767703042691222
Zm00001d002815	8	0.00356242024352666	4133	0.566338793673039
Zm00001d002822	8	0.00356195581971391	3732	0.530027127241313
Zm00001d002993	8	0.00356030964926237	2203	0.213778261729536
Zm00001d003007	8	0.00355773898803701	762	0.125425156848975
Zm00001d003025	8	0.00356088909176424	2641	0.330925908410345
Zm00001d003162	8	0.00356157281820597	3314	0.457392584091737
Zm00001d003242	8	0.00356190338011701	4200	0.725233163824671
Zm00001d003373	8	0.00355723712584446	1149	0.0614695293458359
Zm00001d003429	8	0.00356119901521989	3100	0.426192124440018
Zm00001d003430	8	0.00356124535645092	3053	0.446378302147969
Zm00001d003459	8	0.00355800172614448	1251	0.083471357379703
Zm00001d003767	8	0.00355884745273479	1507	0.179065689740451
Zm00001d003866	8	0.00356195733972526	3482	0.444570429074993
Zm00001d003867	8	0.00355796949788171	1046	0.0656249129253952
Zm00001d003913	8	0.00355725948677998	1143	0.0570741291715046
Zm00001d003961	8	0.00356181142455175	3408	0.441397187522422
Zm00001d004021	8	0.00356127992323643	2855	0.340686901942706
Zm00001d004342	8	0.00355825312663323	1047	0.0904666186015906
Zm00001d004343	8	0.00355749220879585	506	0.050424913106047
Zm00001d004344	8	0.0035584374337216	1154	0.0911365639223534
Zm00001d004346	8	0.0035587234129637	1273	0.107539656009197
Zm00001d004348	8	0.00355847118749961	1179	0.136599828589518
Zm00001d004354	8	0.00356109038394672	2835	0.331579513803651
Zm00001d004478	8	0.00356087693900244	2470	0.266733004349538
Zm00001d004672	8	0.00356122978262398	2907	0.364428140023617
Zm00001d004894	8	0.00356123358110579	3233	0.465296508073961
Zm00001d005094	8	0.00356064681173448	2603	0.330432933533161
Zm00001d005446	8	0.00355912780688523	1547	0.13539995317222
Zm00001d005457	8	0.00356114166012045	2861	0.327211588889388
Zm00001d005482	8	0.00355966815380649	1976	0.182435937540468
Zm00001d005628	8	0.00356279620385281	4756	0.77586946077897
Zm00001d005681	8	0.00356054390966021	2672	0.455921996915745
Zm00001d005693	8	0.00356069959407299	2387	0.251970355274895
Zm00001d005785	8	0.00355814922529155	1303	0.0747560003097837
Zm00001d005814	8	0.0035622674491677	3946	0.580305826630449
Zm00001d005848	8	0.00355991978985086	1988	0.250382900241306
Zm00001d005950	8	0.00355993041779709	1990	0.272910475038965
Zm00001d005996	8	0.0035615769973414	3535	0.511872313298312
Zm00001d006475	8	0.00355907469174691	1470	0.18206089882297
Zm00001d006540	8	0.00355922493580965	1594	0.140474224322939
Zm00001d006624	8	0.00356085225396039	2607	0.299915418832729
Zm00001d006663	8	0.00355976113734091	2099	0.254381083002655
Zm00001d006699	8	0.00356020942408377	2091	0.227124107860419
Zm00001d006833	8	0.00356222298163014	4108	0.569231389173177
Zm00001d006886	8	0.00356271484676154	4435	0.63578302517749
Zm00001d006930	8	0.00356169629679807	4160	0.752933374104968
Zm00001d007352	8	0.00356230013541606	4250	0.657823452585225
Zm00001d007394	8	0.00356143149321773	3190	0.407121103524148
Zm00001d007573	8	0.00355643800173519	730	0.0406848917502458
Zm00001d007774	8	0.00355887780017266	1455	0.103920383953757
Zm00001d007857	8	0.00355886452310491	1465	0.134539455819077
Zm00001d007921	8	0.00356023561875622	2191	0.240231061908604
