Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d049452	7	0.00889668022933933	3333	0.510041955579675
Zm00001d007960	7	0.00890473992121635	4468	0.765457386099772
Zm00001d054062	8	0.00882586542784355	513	6.10755439851626e-05
Zm00001d015722	8	0.00882347653515058	445	4.70404079129107e-05
Zm00001d049944	7	0.00888716417550093	1905	0.357907510019634
Zm00001d042578	7	0.0088995885542683	3482	0.587739827519163
Zm00001d054005	7	0.00890439885417318	4176	0.714878311115124
Zm00001d028728	7	0.00890202557169006	3720	0.63241710105939
Zm00001d022998	7	0.00889720887429674	3005	0.407463825954096
Zm00001d008260	7	0.00890693504342184	5024	0.861592935799498
Zm00001d007508	7	0.00890650401381205	5075	0.8137645732331
Zm00001d006430	7	0.00888163574711982	1207	0.107807202220366
Zm00001d039278	7	0.00889924788171608	3433	0.577359100856895
Zm00001d017859	7	0.00888193488792957	1026	0.126271161030245
Zm00001d052009	7	0.00888567361462625	1514	0.212458050955055
Zm00001d000165	7	0.00890397704423339	4343	0.680082322345926
Zm00001d030540	8	0.00881979655838994	149	3.01635969033017e-05
Zm00001d022156	8	0.00882147429984525	499	2.7778486759837e-05
Zm00001d033214	7	0.00890631096199349	4497	0.70233444914061
Zm00001d022464	7	0.00889623451397613	2565	0.308030002318193
Zm00001d022115	7	0.00889418793247696	2015	0.303690829712738
Zm00001d013047	7	0.00888316068271905	1000	0.15162489796187
ZmsRNA193516	7	0.0088874592183402	1605	0.252958734718833
Zm00001d023258	7	0.00889081335456172	1847	0.205690315903754
Zm00001d043439	7	0.00891325261454906	6030	0.983642250966042
Zm00001d004259	7	0.00889592545115284	3292	0.438683907874464
Zm00001d028410	7	0.00889180890197471	1865	0.290219064085933
Zm00001d013179	7	0.00890195156715611	3904	0.677794466819903
Zm00001d045724	7	0.00889548205069597	2782	0.531094714353899
Zm00001d002869	7	0.00890818796006857	4767	0.801834320810108
ZmLnc-gene0862	7	0.0088957216606052	2334	0.373061003018241
Zm00001d016635	7	0.00888607358112512	972	0.133058169448954
Zm00001d043625	7	0.00889918288794187	3100	0.555642844406918
Zm00001d011255	7	0.00889514393156954	2863	0.465194133928086
Zm00001d031429	7	0.0089082508397256	4920	0.823666892596737
Zm00001d028485	7	0.00890003460578869	3583	0.631678249837685
Zm00001d049830	7	0.00891049263019022	5369	0.892383329911463
Zm00001d015180	7	0.00890202108653177	3926	0.674852882012235
Zm00001d039395	7	0.00890440558550681	4331	0.764809218789387
Zm00001d032384	7	0.00889738360974888	3331	0.528505988297107
Zm00001d047482	7	0.00890915595598897	4931	0.82798527462512
Zm00001d041475	7	0.00888671494334678	1391	0.245961704655186
Zm00001d017639	7	0.00884147348383629	657	2.29386996884679e-05
Zm00001d011303	7	0.00884140269478008	660	2.29278770366e-05
Zm00001d035091	7	0.00890073403285844	3932	0.695258027883593
Zm00001d028730	7	0.0089041655075654	4509	0.756398823406395
Zm00001d031344	7	0.00889098336485111	1863	0.269732774663935
Zm00001d023305	7	0.00890191568661287	3811	0.50621298250293
Zm00001d039185	7	0.00890665217553492	4933	0.848181723616068
Zm00001d006581	7	0.0089072403813046	4955	0.820908939641883
Zm00001d031437	7	0.00890722017447434	5022	0.816505726955485
Zm00001d023808	7	0.008894687175687	2847	0.492117252391079
Zm00001d049991	7	0.00890778375489667	5028	0.859738295853902
Zm00001d001170	7	0.00890388954611253	4528	0.789736194164478
Zm00001d038917	7	0.00890290699300329	3960	0.704198555048792
Zm00001d013410	7	0.00890931094470918	5032	0.823505282355631
Zm00001d047046	7	0.00889347162756798	2590	0.389849877922626
Zm00001d020696	7	0.00887588232605034	583	0.0968533187016615
Zm00001d053909	7	0.00890397480067035	4027	0.693864820656036
Zm00001d033158	7	0.00890781743725997	4833	0.804404681922745
Zm00001d016770	7	0.00890053226376828	3600	0.621672149052043
Zm00001d003246	7	0.00890577450146489	4674	0.808552128489062
Zm00001d042130	7	0.00891292887968542	5568	0.908384025175511
Zm00001d042043	7	0.00890569594572457	4966	0.795723168628441
Zm00001d042955	7	0.00888976882877793	2033	0.197250753805452
Zm00001d042608	7	0.00886974895274613	266	0.0171900514301914
Zm00001d049686	8	0.00879307860768915	141	2.14834370781961e-06
Zm00001d030183	8	0.00879465864544288	82	6.7070354116618e-07
Zm00001d016406	7	0.00890686544727527	4684	0.737517222363718
Zm00001d001503	7	0.00890478255643387	4456	0.744544650480281
Zm00001d032224	7	0.00889415883034147	2331	0.321216100491659
Zm00001d023953	7	0.0088842572630695	1732	0.141513714535825
Zm00001d044255	7	0.00890733917157234	4634	0.731279492621303
Zm00001d016381	7	0.00887917864393833	507	0.045585572707177
Zm00001d038318	7	0.00890941202721459	5395	0.90359493701924
Zm00001d013624	7	0.00891220730535174	5935	0.961364708978123
ZmLnc-gene3927	8	0.00883683256431692	489	3.17158502522795e-05
Zm00001d033737	7	0.00884353128608475	678	5.04976173175574e-05
Zm00001d005598	7	0.0089010591245239	4092	0.694795973884916
Zm00001d005406	7	0.0088965480779156	3225	0.482903364724874
Zm00001d010957	7	0.00889300609124486	2498	0.336747401732936
Zm00001d008625	7	0.00888368325547509	1578	0.0908659047751586
ZmLnc-gene0125	7	0.00888253099723547	1514	0.241073573665501
Zm00001d021573	7	0.00887845806230674	1128	0.159416241505234
Zm00001d052188	7	0.00889019153020381	1780	0.284669515061736
Zm00001d038192	7	0.00890167574291471	3905	0.656867206727588
Zm00001d026516	7	0.00890622341799669	4909	0.852590501304953
Zm00001d015277	7	0.00889995166820259	3468	0.623693087856633
Zm00001d037180	7	0.00886401981053368	349	0.000190946162123215
Zm00001d019753	7	0.00883841289247236	143	1.49340807255502e-05
Zm00001d043124	7	0.00884331218416072	689	4.91906361693449e-05
Zm00001d027275	8	0.00883853890100171	584	4.37261054510716e-05
ZmsRNA115032	7	0.00888343982718307	1366	0.192701216221418
ZmLnc-gene0068	7	0.00889509914950699	2630	0.469121778835444
Zm00001d039138	7	0.00888074737305849	966	0.102531897245986
Zm00001d006497	7	0.00890240009835292	4130	0.705584722657244
Zm00001d021583	7	0.00890828901709332	5234	0.883466639422979
Zm00001d004934	7	0.00890193138431495	3769	0.623168927831125
Zm00001d030627	7	0.00890348348759957	4434	0.75012199042155
Zm00001d026061	7	0.00889098336485111	2194	0.410891240830856
Zm00001d037463	7	0.00890850461307614	4583	0.753862058661355
Zm00001d025696	7	0.00889875709014647	3609	0.600691872509639
ZmLnc-gene2716	8	0.00882485594085096	466	6.02206561986361e-05
Zm00001d024980	7	0.00887653113693802	928	0.045894788289429
Zm00001d022265	7	0.00890749858776181	4602	0.716344482237897
Zm00001d010173	7	0.00890649952413982	4889	0.835058316227505
Zm00001d030045	7	0.00889092072872489	2033	0.344235808970671
Zm00001d002607	7	0.0089084933838611	4847	0.695628301269444
Zm00001d046073	7	0.0088990237692605	2685	0.43964900094939
Zm00001d002145	7	0.00889933304740896	3152	0.560763915980903
Zm00001d038777	7	0.00889765692768089	2507	0.41981443781758
Zm00001d021294	7	0.0089015972594658	3563	0.62592378965992
Zm00001d020011	7	0.00889919857600734	3487	0.60379793065429
Zm00001d013999	7	0.00889360816429052	2068	0.36373382564087
Zm00001d027450	7	0.00889867417636836	2961	0.483822845013905
Zm00001d010488	7	0.00891421271662127	5974	0.931223717413831
Zm00001d039625	7	0.00890506306146477	4414	0.734517867500484
Zm00001d038647	7	0.00890854728435149	5270	0.894009444010081
ZmLnc-gene9449	7	0.00886206358656644	195	0.015559692938857
Zm00001d017087	7	0.00888155315208802	1160	0.143316412472018
Zm00001d044619	7	0.0089061493436513	4584	0.780943524038898
Zm00001d035593	7	0.00891462875012551	5808	0.948738113812298
Zm00001d040364	7	0.00887823722633789	615	0.00109837035612267
Zm00001d007603	8	0.00883613209613648	242	1.05124647101685e-05
Zm00001d010946	7	0.00889461105426702	2334	0.417784400743707
Zm00001d003257	7	0.0089012115894848	3665	0.587457920959596
Zm00001d009504	7	0.00887214292242166	269	0.014595524963094
Zm00001d003602	7	0.00887233672346967	360	0.0235682828095139
Zm00001d040293	7	0.00890842600916531	5139	0.84201050940505
Zm00001d011877	7	0.0089042081372826	4085	0.702820256693904
Zm00001d054051	8	0.00882559209415563	518	6.08405959994799e-05
Zm00001d037921	8	0.00884353571249812	352	0.000377864586517185
Zm00001d025973	7	0.00889644504732585	3078	0.564620863994627
Zm00001d013265	7	0.00889949665976104	3397	0.513421902377676
Zm00001d053009	7	0.0088990349746152	2971	0.492719910821574
Zm00001d033717	7	0.00889425285331165	2262	0.199022678199227
Zm00001d035199	7	0.00890571390120018	4455	0.791533631222281
Zm00001d022629	7	0.00888949375896509	1943	0.341807783229329
Zm00001d022126	7	0.00890014892769791	2416	0.310907679888674
Zm00001d011970	7	0.00890729651186972	4846	0.804401453056278
Zm00001d012718	7	0.00891219606680023	6015	0.968382365206513
Zm00001d009520	7	0.00890658482868618	4919	0.841111446079147
Zm00001d048740	7	0.0088997835562162	3498	0.572441786635418
Zm00001d020501	7	0.0089021309742111	4389	0.686682112297214
Zm00001d042027	7	0.00890954680745652	4826	0.827980203884456
Zm00001d018604	7	0.00890085061472468	4075	0.679881170631947
Zm00001d024393	7	0.00889409614946572	2273	0.317763207195591
Zm00001d013086	7	0.00889674294664296	2631	0.42721157515886
Zm00001d017811	7	0.0088990349746152	3153	0.562921231568164
Zm00001d013252	7	0.008904228330449	4135	0.704644496361078
Zm00001d049732	7	0.0089066880942707	4127	0.556693814958493
Zm00001d026560	7	0.00890585754761157	3997	0.524894383995491
Zm00001d017317	7	0.00890517078009266	4504	0.756456657781754
Zm00001d028398	7	0.00889947424675446	3148	0.487788187829419
Zm00001d003590	7	0.0089098725432105	4808	0.812722770836878
Zm00001d049674	7	0.0088991358240773	3090	0.526463370538779
Zm00001d008875	7	0.00891154427930657	5922	0.968581031073357
Zm00001d053351	7	0.00890626606742117	4864	0.836626262932506
Zm00001d028471	7	0.00890742898280826	4135	0.604749508982115
Zm00001d051995	7	0.00891152405294409	5608	0.889902536330269
Zm00001d016849	7	0.00890659380820716	4913	0.819583505556942
Zm00001d048403	7	0.00890404435165041	4177	0.726803261119578
Zm00001d009374	7	0.00890824859400828	5156	0.878766236663457
Zm00001d051478	7	0.0089069103478905	4773	0.779055551664356
Zm00001d027373	7	0.00891166563940955	5862	0.954431307277823
Zm00001d053272	7	0.00890822613689733	5258	0.889483025904917
