Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d030999	7	0.0114511011908343	2726	0.477805420250794
Zm00001d019195	7	0.0114640537128677	4474	0.678752058086666
Zm00001d040293	7	0.0114727463928004	5143	0.842028611180917
Zm00001d007881	7	0.0114487910675061	2041	0.342649106851802
Zm00001d050963	7	0.0114676029017685	4780	0.804658481905929
Zm00001d043535	7	0.011418991615202	1014	0.167921119253972
Zm00001d023391	7	0.0114347032692191	1580	0.163440468211319
Zm00001d018460	7	0.0114575561062152	2142	0.33767224227789
Zm00001d033830	7	0.0114693216119534	4708	0.777554105753916
Zm00001d003209	7	0.0114617666777738	3449	0.548062900041993
Zm00001d034918	7	0.0114769539425184	5844	0.942726735121513
Zm00001d027463	7	0.0114446641315623	2307	0.410798579178886
Zm00001d026609	7	0.0114619118030361	2964	0.55223961436827
Zm00001d008260	7	0.0114695697157623	5029	0.861274214555331
Zm00001d034678	7	0.0114738174996816	5260	0.862529740346242
Zm00001d022473	7	0.0114461959401239	2711	0.422058089991082
Zm00001d039745	7	0.0114461641703451	1957	0.168069266286022
Zm00001d036480	7	0.0114704346186772	3236	0.429951731450193
Zm00001d010336	7	0.0114174143947709	1206	0.0646763853987053
Zm00001d003314	7	0.0114134258667008	711	0.0300275311300487
Zm00001d022273	7	0.0114657323966331	4330	0.75402422346085
Zm00001d021142	7	0.0114495751333059	1655	0.295494271255578
Zm00001d048983	7	0.0114645317689388	3561	0.519684498511814
Zm00001d026186	7	0.0114433655920211	2450	0.40196892450733
Zm00001d041700	7	0.0114757758014028	5893	0.954554171788911
Zm00001d006608	7	0.0114652188230381	4140	0.710496113907986
Zm00001d052377	8	0.0113713759962401	52	0.000823247282334968
Zm00001d036339	7	0.011406491204724	402	0.037354942160314
Zm00001d031977	7	0.0114318363474798	1367	0.216541772124715
Zm00001d013060	7	0.0114665896357353	3780	0.634754924191794
Zm00001d033714	7	0.0114450770441944	1289	0.116562473564163
Zm00001d014804	7	0.0114225481068854	657	0.00573863341148683
Zm00001d024030	7	0.0114599051528044	3414	0.560431301483514
Zm00001d021626	7	0.011460227160445	2165	0.379307831438466
Zm00001d032222	7	0.0114571104621029	2959	0.399538704426223
Zm00001d011895	6	0.0114504052298874	2190	0.363438882120669
Zm00001d047498	7	0.011466805736894	3049	0.447094939514586
Zm00001d006547	7	0.0114580159340977	2639	0.45682006432688
Zm00001d023759	7	0.0114525781800846	2984	0.35998484440208
Zm00001d000034	7	0.0114767693984151	5720	0.889232664818845
Zm00001d046545	7	0.0114745340470433	5650	0.934015380911875
Zm00001d019148	7	0.0114587588109566	3810	0.624568540890716
Zm00001d047013	7	0.0114539777845603	3523	0.556449807601392
Zm00001d037120	7	0.0114682796931575	4532	0.789871143916423
Zm00001d018270	7	0.0114598768453057	3783	0.63657682066688
Zm00001d001945	7	0.0114618162323282	3314	0.552073738840821
Zm00001d039608	7	0.0114428363805428	1449	0.175000146047822
Zm00001d025830	7	0.0114398067053326	924	0.0675320322005701
Zm00001d035762	7	0.0114566648526561	702	0.0263735940530565
Zm00001d005391	7	0.0114339987326022	861	0.0643335082590719
Zm00001d026577	7	0.0114638943697036	4037	0.710696574474129
Zm00001d011139	7	0.0114836689943412	5312	0.858633461095403
ZmLnc-gene3379	7	0.0114543701593211	3159	0.458907296538538
Zm00001d049294	7	0.0114892003374169	5079	0.686891872486169
Zm00001d039270	7	0.0114625065010309	3626	0.485664714914418
Zm00001d029806	7	0.0114326744387701	1064	0.141766577786166
Zm00001d041246	7	0.0114568982628052	558	0.0605040942728842
Zm00001d028596	7	0.0114848416490518	2945	0.162886456460447
Zm00001d044355	7	0.0114758290254527	5769	0.951102655257483
Zm00001d001169	7	0.011431846910891	1281	0.229857722634114
ZmLnc-gene8438	7	0.0114105134746435	579	0.0488134123928103
Zm00001d018384	7	0.0114753145469825	5255	0.84016612765657
Zm00001d052695	7	0.0114506313195977	2655	0.503240484872967
Zm00001d033309	7	0.0114617772965708	3903	0.664647581725526
Zm00001d039595	7	0.0114536631971875	2714	0.481845204776007
Zm00001d015499	7	0.011460708436366	3410	0.551617810962083
Zm00001d039062	7	0.0114768829633148	5653	0.884984829590768
Zm00001d032366	7	0.0114637633575314	4047	0.614834582441255
Zm00001d039096	7	0.01141701752373	832	0.044236726542979
Zm00001d017092	7	0.0114469549372723	2272	0.215935378241758
Zm00001d033088	7	0.0114703885344945	4320	0.724458660307783
Zm00001d013451	7	0.0114614905959574	3729	0.68274630425212
Zm00001d052933	7	0.0114746511152656	5689	0.930191879936837
Zm00001d042432	7	0.011456590587785	2902	0.434870504039654
Zm00001d043421	7	0.0114294283992426	1277	0.163159989737017
Zm00001d035266	7	0.0114239403806667	1282	0.164796949761967
Zm00001d043164	7	0.0114723066584817	5299	0.886856805886387
Zm00001d011520	7	0.0114457652981296	2597	0.419370568861869
Zm00001d038929	7	0.0114605562638741	2011	0.260315293690617
Zm00001d011454	7	0.0114637562758776	3629	0.558660672206358
Zm00001d045550	7	0.0114427023214057	2085	0.235567062248178
Zm00001d007937	7	0.0114327730458244	1686	0.124490794419985
Zm00001d052368	7	0.0114710018389455	5209	0.872129338520444
Zm00001d044552	6	0.0114782920647782	4507	0.693563758089967
Zm00001d008537	8	0.011364798550793	460	9.20409307479429e-05
Zm00001d006386	8	0.0113696168547869	641	0.000134569423798747
Zm00001d042553	7	0.0114410021596568	1507	0.207210088091569
Zm00001d023923	7	0.0114480812627158	2253	0.290664189042089
Zm00001d050664	7	0.0114772662614448	5872	0.969802834957771
Zm00001d027332	7	0.0114547448846378	2886	0.469236556492855
Zm00001d039678	7	0.0114574676820075	3422	0.63110037657042
Zm00001d001973	7	0.0114751690821256	5662	0.934401501268752
Zm00001d045493	7	0.0114685879963451	4655	0.792177432802748
Zm00001d038131	7	0.0114696937716921	4677	0.813600416672419
Zm00001d052921	7	0.0114744914773729	5244	0.87095142864395
Zm00001d010727	7	0.0114725265214273	4837	0.791528208591351
Zm00001d049706	7	0.0114654136213995	4013	0.73946436850364
Zm00001d038624	7	0.0114678934516366	4854	0.816338812186484
Zm00001d041773	7	0.0114570185081088	2538	0.330748961512401
Zm00001d022420	6	0.011451196582937	1885	0.232623417207147
ZmLnc-gene3650	7	0.011409875052415	564	0.0387742421584987
Zm00001d038494	7	0.0114404343758621	1777	0.18232718016446
Zm00001d021521	7	0.0114723669426443	5051	0.841030116463814
Zm00001d011891	7	0.0114695413604981	4113	0.703529772947269
Zm00001d051245	7	0.0114765351779072	5475	0.907725530732604
Zm00001d034842	7	0.0114309913378248	928	0.116156304897379
Zm00001d007192	7	0.0114677198286037	3813	0.651149835494909
Zm00001d003308	7	0.0114696228822608	4232	0.695117628304637
Zm00001d025670	7	0.0114660795276031	4609	0.761735197426576
Zm00001d020980	7	0.0114468807982314	2551	0.367095209444887
Zm00001d028972	7	0.01144394425259	2321	0.369323803939799
Zm00001d014986	7	0.0114430198349788	2187	0.311322529132072
Zm00001d039657	7	0.0114463300811343	2366	0.271841612949992
Zm00001d012035	7	0.0113982206307333	277	0.0191298341753333
