Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d015348	6	0.00679523529956778	78	0.0879484076063919
Zm00001d006010	7	0.00677591321576741	15	0.0245449733337883
Zm00001d014244	6	0.00679038104678496	70	0.0544368049584512
Zm00001d006148	7	0.00676730823809905	9	0.0114507047352431
ZeamMp176	6	0.00681377372987515	386	0.495627539302614
Zm00001d013034	7	0.00677453388142486	5	0.0222481896282648
Zm00001d032112	6	0.00679673949755515	85	0.113787988228383
Zm00001d042869	6	0.00679257175764982	92	0.0704152882462405
Zm00001d048689	6	0.00679126908302727	37	0.0874417572483156
Zm00001d053931	7	0.00676287502818775	5	0.0131583235822255
Zm00001d013201	6	0.00677962983002077	37	0.0254958871866912
Zm00001d006900	7	0.00676976245680039	12	0.0130821834917135
ZeamMp030	6	0.00681412476695473	271	0.630783336758004
Zm00001d031636	6	0.00677619508435761	9	0.032546906235084
Zm00001d014423	7	0.00677407719340023	15	0.0169487398822663
Zm00001d037886	6	0.00680517413110349	146	0.195913832058963
Zm00001d006769	6	0.00678154613116628	28	0.0289338674695156
Zm00001d026144	6	0.0067827767000334	14	0.0441360717064656
Zm00001d039439	6	0.00679393756865279	59	0.0820702241115323
Zm00001d050737	7	0.00676522251570974	8	0.0107624605119238
Zm00001d044478	6	0.0067836121956854	37	0.0309000236904507
Zm00001d034761	7	0.00677519233227732	13	0.0210848547095992
Zm00001d006417	7	0.00676581703744218	18	0.0104316823466328
Zm00001d051600	6	0.0067800753847994	12	0.0374759673232485
Zm00001d048505	6	0.00678171850280691	18	0.0409037814909182
Zm00001d045231	6	0.00677892894236881	29	0.0251388737656776
Zm00001d021404	7	0.0067289103556952	3	0.000610192424927666
Zm00001d053179	7	0.00676051735541667	4	0.00621916743734968
Zm00001d031832	7	0.00676169894076184	8	0.00611358781348513
Zm00001d038449	7	0.00676980688004865	12	0.0136669559705397
Zm00001d052307	6	0.0067894455819904	79	0.0539448994107143
Zm00001d011357	7	0.00676591465547394	5	0.0128360698161747
Zm00001d043309	6	0.00679604700624797	58	0.094859263582868
Zm00001d026068	7	0.00675059948376999	1	0.00277061591957787
Zm00001d030518	6	0.00678266373065352	39	0.032861979594994
Zm00001d033210	6	0.00677843900105739	15	0.0245071502127772
Zm00001d005100	6	0.00679908068520674	76	0.134860247929268
Zm00001d026361	7	0.0067670271083389	7	0.01053413096182
Zm00001d034510	6	0.00678625383439786	52	0.0401179049279693
Zm00001d025913	6	0.00677616541287537	10	0.0193001629414302
Zm00001d028509	6	0.00678414452266365	44	0.0410648401345901
Zm00001d015006	7	0.00674076352051239	5	0.00134787982371646
Zm00001d027302	7	0.00677439746166939	36	0.0146586347757885
Zm00001d051272	8	0.00672923807196349	1	0.000428144235313377
Zm00001d005856	6	0.00679626488700414	56	0.13198256254101
Zm00001d006296	6	0.00677658380477483	16	0.0291174491862339
Zm00001d028894	6	0.00679383914032801	76	0.0758936122794878
Zm00001d024729	7	0.00676326222183762	6	0.0081193362684916
Zm00001d003372	7	0.00675596915523536	1	0.00451379038464045
Zm00001d033484	6	0.00680148925144941	147	0.154541388731954
Zm00001d022618	6	0.00677397637447154	17	0.0174289167377741
Zm00001d039039	7	0.00672882257997189	1	0.000509057653947412
Zm00001d052804	6	0.00678954686191312	31	0.0999017292094869
Zm00001d042184	7	0.00676824353255514	6	0.015227255056945
Zm00001d003031	6	0.00679125418117442	51	0.0674049352415436
Zm00001d039274	7	0.00674587052462166	1	0.00196873957887298
Zm00001d042780	7	0.00676795936512824	12	0.0110334999364593
Zm00001d040029	6	0.00677422546198248	22	0.0214871319027756
Zm00001d047618	6	0.0067847810455797	41	0.0340903545325113
Zm00001d002538	6	0.00679736942901218	81	0.110339852912102
Zm00001d021452	7	0.00676522843083423	21	0.0084464535053264
Zm00001d044600	7	0.0067704259046339	11	0.0153490619947325
Zm00001d034630	6	0.00677632860924339	18	0.0199982323723656
Zm00001d002978	6	0.00678992519893713	84	0.0553277162877245
Zm00001d042979	6	0.0067918115549891	76	0.0637892458493748
Zm00001d012958	7	0.00676545617099226	3	0.00899528680029565
Zm00001d045581	6	0.0067753673475017	30	0.0197932252659976
Zm00001d019155	6	0.00680456668871097	82	0.170611969709668
Zm00001d021389	7	0.00677398527013865	21	0.0159541940194949
Zm00001d030774	7	0.00676567801056276	5	0.00926429215070993
ZemaCp015	6	0.00681353972524814	373	0.5436864095214
Zm00001d033746	6	0.0067800724142403	14	0.0365746537919208
Zm00001d008663	7	0.00676259722189447	9	0.00715878827018831
Zm00001d008288	8	0.00671759449778005	1	0.000209091363322086
