Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d037359	5	0.0807397991936933	981	0.283097024337145
Zm00001d010519	5	0.0778737500386985	12	0.0100205579914122
Zm00001d017279	5	0.0780041554253109	11	0.0107729571908344
Zm00001d026655	5	0.0767807867939733	10	0.00358358196724312
Zm00001d045764	4	0.0819559430602663	1569	0.451733785201764
Zm00001d048546	5	0.0799194260696062	26	0.0305428916536306
Zm00001d008540	5	0.0794130368209529	170	0.0628444680094179
Zm00001d014692	5	0.0810930180826405	602	0.194759859186232
Zm00001d032095	5	0.0807504261596197	214	0.101384138811037
Zm00001d011309	5	0.0791419420200482	26	0.024545571280247
Zm00001d016358	4	0.081263831230717	139	0.0990556272785268
Zm00001d005143	5	0.0793551643636823	439	0.117445483711593
Zm00001d051885	5	0.0796337745472044	45	0.0318341474056766
Zm00001d041105	5	0.0818967060945553	924	0.305210769499225
Zm00001d012773	4	0.079766604829631	38	0.0361194545690191
Zm00001d021689	5	0.0740603341165109	3	0.000397608303239828
Zm00001d013568	4	0.0809513082096997	110	0.08059531747042
Zm00001d022357	4	0.0795064116544502	25	0.0261585150355905
Zm00001d006884	5	0.077255960662545	9	0.00535932158231485
Zm00001d014141	5	0.0791250133688998	19	0.0199518179523967
Zm00001d020643	5	0.0777084742830487	65	0.0219543051055142
Zm00001d038136	4	0.0808267113097629	231	0.109229238760177
Zm00001d040257	5	0.0811626188609355	108	0.090449388646779
Zm00001d049572	5	0.0790601044118895	13	0.0166833882872524
Zm00001d024245	4	0.0816359647414677	127	0.120580425393722
Zm00001d030470	5	0.0786209914358942	11	0.0135017071012831
Zm00001d047464	5	0.0806298061666384	288	0.126648542942338
Zm00001d048424	4	0.0805018162034148	92	0.0697117675881808
Zm00001d012213	5	0.0780438465309364	12	0.010368028206258
Zm00001d005502	4	0.0798937883325975	84	0.0546908636849852
Zm00001d026344	5	0.0800922107984704	168	0.0746345389678729
Zm00001d022417	5	0.0796597501963467	176	0.0628542861383154
Zm00001d017222	4	0.0811998230996936	89	0.0831057126460039
Zm00001d002292	5	0.0797645812787575	28	0.0351419334060687
Zm00001d043795	5	0.0804441473796648	55	0.0524785528831269
Zm00001d033147	4	0.0818601926581619	150	0.143429550115767
Zm00001d012503	4	0.080472714010583	64	0.0614229783423926
Zm00001d020666	4	0.0789365501269374	21	0.021246112527173
Zm00001d019563	4	0.0816961516351247	137	0.127999137064694
Zm00001d015210	5	0.0781860002486634	12	0.0129847737506437
Zm00001d037836	5	0.0796718611427848	93	0.0513796075389525
Zm00001d014199	5	0.0785826751974408	36	0.0186042286956319
Zm00001d027922	4	0.0806143018757872	119	0.0738652775357797
Zm00001d028086	5	0.0795740696217748	29	0.0280766672440805
Zm00001d021623	4	0.0801810560540618	52	0.0479799518910061
Zm00001d051211	5	0.0816977436820173	174	0.145222379158335
Zm00001d036396	5	0.077519762084534	8	0.00663361004933855
Zm00001d044246	4	0.0809891012122285	119	0.0873194822494994
Zm00001d009161	4	0.0805833111751119	66	0.0597641504414618
Zm00001d009903	5	0.0776077774383942	8	0.00779510638800915
Zm00001d033004	5	0.0787445451073448	84	0.0355596844799114
Zm00001d036233	4	0.0814670151540178	213	0.136150844081515
Zm00001d047804	5	0.0804649912990071	330	0.122337342055552
Zm00001d031487	5	0.0803377802192889	45	0.0473223276740182
Zm00001d010733	4	0.0807012027860748	84	0.0719500043570496
Zm00001d025848	5	0.0766637814378193	5	0.00189882186448295
Zm00001d043205	5	0.078991580805115	16	0.0175680925432907
Zm00001d035156	4	0.0814823213099885	120	0.106265029413303
Zm00001d024713	5	0.0780065744588476	15	0.00820781848236439
Zm00001d025160	4	0.0812223718327505	78	0.0920890456835558
