Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d020214	10	0.00473529152944446	75	0.00100361522209302
Zm00001d000071	10	0.00473957663817548	336	0.00731979190557073
Zm00001d019125	9	0.00474975679520751	1623	0.613764361860091
Zm00001d012738	9	0.00474855438597328	1492	0.610018123409867
Zm00001d018384	9	0.0047493149240159	1539	0.649548159045606
Zm00001d011211	9	0.00474439919538911	797	0.366789132768499
Zm00001d017320	9	0.00473951297312876	158	0.047284600071004
Zm00001d012092	9	0.00474804237364644	1021	0.30868473796782
Zm00001d009731	9	0.00474733075478029	1353	0.622255970968691
Zm00001d001263	9	0.00474806501956699	1575	0.680695355976409
Zm00001d051194	10	0.00473765776753897	442	0.00378343452497281
Zm00001d031945	10	0.00473775923059089	363	0.00241172224185185
Zm00001d037958	9	0.00474284357923555	430	0.196023049630452
Zm00001d023810	9	0.00474979240745496	2019	0.786103489059431
Zm00001d046745	10	0.00473292845745823	85	0.000339591448545583
Zm00001d002901	10	0.0047340232659054	164	0.000211698096674263
Zm00001d051906	9	0.00475011779862698	1577	0.545770979159854
Zm00001d013624	9	0.00475091527642371	2217	0.89099599115879
Zm00001d039611	9	0.00474274512619728	339	0.117793411641655
Zm00001d018896	9	0.00474774476162315	924	0.298817167033197
Zm00001d039041	9	0.00474920972870689	1548	0.646514821793451
Zm00001d025997	9	0.00474952613789949	1617	0.628721568531949
Zm00001d035965	8	0.00474212545009276	451	0.163501072007846
Zm00001d008326	8	0.00474743586686605	1448	0.544065767009199
Zm00001d041496	9	0.00474154223109345	524	0.20322803714511
Zm00001d005199	9	0.00475085535508357	2405	0.881054673180335
Zm00001d047679	9	0.00474558576589862	538	0.131058860712168
Zm00001d008468	10	0.00474056809944955	245	0.0154293014624126
Zm00001d023671	9	0.00474506631585112	559	0.176091727853222
Zm00001d005200	9	0.00474649729989114	643	0.187891545507971
Zm00001d026019	10	0.00472962700526412	177	1.31355247242711e-05
Zm00001d020505	11	0.00472821660029115	147	5.76650500632608e-06
Zm00001d047272	9	0.00474808038656467	1087	0.459406361327568
Zm00001d010790	9	0.00474864984440054	1486	0.578404718312029
Zm00001d012291	9	0.00474274835410094	634	0.3203447578858
Zm00001d003322	9	0.0047507630467877	1988	0.826076114792329
Zm00001d033132	10	0.00473739929797297	504	0.00265069139633217
Zm00001d011154	10	0.00474304049757513	953	0.0120469221707572
Zm00001d048346	9	0.00474682385645975	766	0.234530907229465
Zm00001d005228	9	0.00475082458525305	2031	0.689436891035693
Zm00001d037498	10	0.0047315522254795	93	3.11306661553908e-05
Zm00001d008403	10	0.00474007715336889	182	0.00327408991431768
Zm00001d015579	10	0.00473828594197444	249	0.00707289598833024
Zm00001d007072	10	0.00474415936862547	721	0.026173975863826
Zm00001d041443	8	0.00475009918051672	2066	0.795423041565753
Zm00001d013417	9	0.00474748923324489	1073	0.375634574251393
Zm00001d027723	10	0.00474047780288361	689	0.00613707764706868
Zm00001d017364	10	0.00474348281640421	941	0.0138308629887631
Zm00001d050929	9	0.00475128698444982	2476	0.921028252589612
Zm00001d029260	9	0.00474552436307671	942	0.392125662688509
Zm00001d050923	9	0.00475032746481394	1902	0.730541062257005
Zm00001d012890	9	0.00474253290117313	291	0.0686721853084628
Zm00001d025034	9	0.00475095090604523	2407	0.887710060224218
Zm00001d022276	9	0.00475160205051556	2533	0.93677885783802
Zm00001d039470	9	0.00473794284144668	227	0.0699810715814497
Zm00001d005740	8	0.00474213271098442	540	0.222568632116807
Zm00001d040464	10	0.0047417301684374	520	0.0170799066383535
Zm00001d012287	10	0.00474197781678484	1004	0.00759768549534737
Zm00001d025239	9	0.00474296059840869	318	0.0594436570442862
Zm00001d021447	9	0.00474678909706446	1196	0.538532090376735
Zm00001d048166	9	0.00473847120470114	126	0.0534064531717493
Zm00001d040555	9	0.00474610371345071	892	0.351242823182233
Zm00001d043413	9	0.00474835943619322	1455	0.613155488984417
Zm00001d033884	9	0.00474734773410969	1405	0.641315842844318
Zm00001d015394	9	0.0047441569462566	797	0.282028887726207
Zm00001d005107	9	0.00474275884481817	236	0.0598929215533839
Zm00001d043199	10	0.0047414349602326	266	0.00484365334680583
Zm00001d006397	10	0.00473918419859348	104	0.0126320627218615
Zm00001d026200	9	0.00474034236448427	185	0.0296949189650326
Zm00001d019266	9	0.00474792591232434	969	0.304257325715774
Zm00001d027326	9	0.00475030398775698	1908	0.644968466595391
Zm00001d006788	9	0.004747713223405	1178	0.533107953266008
Zm00001d022153	9	0.00474918140768913	1623	0.649368162591266
Zm00001d007585	9	0.00474350784055524	413	0.179167157730768
Zm00001d013566	9	0.00475018174889988	2024	0.809346486340033
Zm00001d010462	9	0.00474448075816374	638	0.171601858422986
Zm00001d028038	11	0.00473180041831465	66	0.000130188417185149
Zm00001d019648	10	0.00474073257703393	828	0.00510361918587306
Zm00001d015342	9	0.00473785506079715	157	0.0454063209768929
Zm00001d028225	9	0.00474706314425067	1121	0.394621372804329
Zm00001d010646	9	0.00474596391303482	448	0.126101237847065
Zm00001d041353	9	0.0047493837080838	1882	0.767058690129494
Zm00001d002716	10	0.00473877168331459	68	0.0173087505867181
Zm00001d019165	9	0.00474200524522873	297	0.0858358012336643
Zm00001d009011	9	0.00474971875544214	1992	0.811472580983839
Zm00001d047931	10	0.00474349169591145	393	0.0113995310336209
Zm00001d033262	10	0.0047413026930715	277	0.00125870767081768
Zm00001d042128	8	0.00474956741177202	2020	0.652551196783939
Zm00001d012933	9	0.00474782805688059	1570	0.676791649489197
Zm00001d018441	9	0.00475007246783084	1988	0.83483288115869
Zm00001d017175	9	0.00475118737071193	2051	0.771542034138522
Zm00001d002822	10	0.00474368624618598	913	0.0112703323629236
Zm00001d002038	10	0.00473829480203587	370	0.00279220664659859
Zm00001d027533	10	0.00474117123972936	359	0.00347336253563785
Zm00001d020707	10	0.0047378244591335	202	0.000918510919224811
Zm00001d034633	9	0.0047386895111146	75	0.018308561229896
Zm00001d008345	9	0.004750389801574	2070	0.729059684750103
Zm00001d034480	9	0.00474867735008335	1292	0.487181235757
Zm00001d015389	9	0.00474594855973384	774	0.282589071380808
Zm00001d017331	9	0.004747101141491	940	0.306552067507962
Zm00001d014969	9	0.00474669128847448	667	0.185868236050776
Zm00001d043170	10	0.0047407761171285	869	0.00515314323051266
Zm00001d026603	10	0.00474050924504746	783	0.00518362722594124
Zm00001d036540	9	0.00474744637833063	1090	0.514062856655728
Zm00001d031485	9	0.00475073065876208	2266	0.873080995713132
Zm00001d047981	10	0.00473579677223696	211	6.40434843214622e-05
Zm00001d017294	10	0.00473393241451273	162	3.82226462928446e-05
Zm00001d051885	9	0.00474616513126618	581	0.209760881484884
Zm00001d029206	9	0.00475213427498583	2769	0.97334334809798
Zm00001d020359	9	0.0047483011970407	1503	0.593242720176112
Zm00001d006255	9	0.00475014774980624	1926	0.672848707401195
Zm00001d049533	9	0.00474621523645088	1150	0.514765748139899
Zm00001d031766	9	0.00474960544911324	1934	0.788239884224438
Zm00001d038647	9	0.00474815237014125	1417	0.621986474133789
Zm00001d011227	9	0.00474132043579869	286	0.153503644254684
Zm00001d046700	9	0.00474288635109134	196	0.0396405372762002
Zm00001d017564	9	0.00474370319945541	296	0.119181880293488
Zm00001d051403	10	0.00473377885946736	90	3.7529068784897e-05
Zm00001d035700	10	0.00473483143395374	180	5.82006740262804e-05
Zm00001d037751	10	0.00473786472456253	316	0.000215147079561977
Zm00001d026576	10	0.00473845267777655	435	0.00023495442647185
Zm00001d016802	10	0.00474296221250662	889	0.00655145671079684
Zm00001d002490	10	0.00474182212604224	925	0.00684706114321366
Zm00001d039578	10	0.00473798633031281	305	0.00224884249610357
Zm00001d034754	9	0.00474733237185404	1105	0.45217905146514
Zm00001d052396	9	0.00474678101355712	1233	0.405130992855931
Zm00001d036334	9	0.00474452355955352	479	0.16346225744375
Zm00001d025233	8	0.00474802619812116	1590	0.620995380408381
Zm00001d000314	9	0.00474841525005498	1325	0.528825293705493
Zm00001d052143	9	0.00474912314837185	1546	0.680661126728225
Zm00001d028529	9	0.00474553082645682	683	0.331676433026038
Zm00001d046966	9	0.00474216014122022	395	0.162803849869401
Zm00001d037062	9	0.00473699997365879	142	0.0449255130879858
Zm00001d005339	9	0.00474123898164569	444	0.0195527878980548
Zm00001d004354	10	0.00474278466831985	866	0.0101789009771629
Zm00001d022598	8	0.00474997209557542	2141	0.795125632562165
Zm00001d012621	9	0.0047410454384489	402	0.0993675976768372
Zm00001d051321	10	0.00474016824077075	324	0.0049583992284676
Zm00001d050393	10	0.00473800485359082	274	0.00499941839986836
Zm00001d044780	9	0.00474801244901133	1484	0.541171839284215
Zm00001d013186	9	0.00473934052197356	147	0.0302345876493425
Zm00001d039456	10	0.00474485226766114	568	0.00532351020874638
Zm00001d022237	10	0.00473906897713706	639	0.00291130118295303
Zm00001d036181	9	0.00474702272232233	1120	0.399790299384691
Zm00001d013420	9	0.00474833031643838	1148	0.401830532555307
Zm00001d036626	9	0.00474416744320624	391	0.103760598382392
Zm00001d017193	9	0.00475046104558885	1811	0.680524800159995
Zm00001d049193	9	0.00474833759634361	1586	0.606346916863798
Zm00001d030079	9	0.00474448156572998	389	0.151580873737261
Zm00001d034841	9	0.00474872022722441	1364	0.53849083946219
Zm00001d021024	9	0.00475009918051672	1626	0.541555499643064
Zm00001d026625	10	0.004734439779757	74	0.000219126408406596
Zm00001d044688	10	0.00473430307794242	158	4.76327873177621e-05
Zm00001d010521	10	0.00473569458864409	251	0.000148723450886735
Zm00001d047990	8	0.00474546538554651	1011	0.408748172668133
Zm00001d007204	8	0.00474924290518587	1849	0.760415835248511
Zm00001d024051	9	0.0047454144883085	640	0.185095972956072
Zm00001d008669	9	0.00474858027262513	1302	0.584570481622569
Zm00001d047462	10	0.00473969107838259	636	0.00318070949696884
Zm00001d029720	10	0.00473625464105888	278	0.00247675201370396
Zm00001d049355	9	0.00474640677731172	1024	0.356123964086704
Zm00001d041682	9	0.00475192201897189	2373	0.827366552632078
