Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d044488	6	0.0093958041279031	938	0.282449492975679
Zm00001d026103	6	0.00937443897925938	286	0.0958209533140967
Zm00001d038855	6	0.00940862542914605	1775	0.688831208851818
Zm00001d021931	6	0.00940332251741201	1636	0.604423455415256
Zm00001d050131	6	0.00938332195960975	112	0.0034705591868402
Zm00001d018081	6	0.00938417222145616	225	0.0095302660902153
Zm00001d039106	6	0.00940885985523756	480	0.142153156890011
Zm00001d034795	6	0.0094014667684792	1131	0.426010022719389
Zm00001d052112	6	0.00939200243618807	1462	0.615884528740397
Zm00001d021669	6	0.00940706765007713	2502	0.89373653187064
Zm00001d036641	6	0.00940101293523517	1032	0.436308355425658
Zm00001d009493	6	0.00940055343804029	1579	0.694923566632538
Zm00001d051652	6	0.00938535829548678	504	0.176525589908777
Zm00001d018415	6	0.00939270326641001	834	0.326380835952617
Zm00001d047911	6	0.00939112227323086	589	0.153460969164753
Zm00001d014306	6	0.00938705402019952	150	0.0404332775446817
Zm00001d047713	6	0.00939901544819933	1204	0.480755206305896
Zm00001d004468	6	0.00938923432484537	1256	0.576414496252886
Zm00001d028169	6	0.00939831367573769	2106	0.78200299780893
Zm00001d013095	6	0.00940247734705906	1343	0.544389966615919
Zm00001d036758	6	0.00940813660255826	1420	0.461615508845156
Zm00001d007296	6	0.00940087022943406	170	0.0192278629596664
Zm00001d018937	6	0.00939802272764521	1108	0.419061776954708
Zm00001d007233	6	0.00939673649657254	1368	0.592014174861241
Zm00001d048282	6	0.00939399124339857	913	0.281907202741823
Zm00001d041914	6	0.00940426209115073	2513	0.897639975219076
Zm00001d031233	6	0.0093914441259876	1011	0.466525100517924
Zm00001d006769	6	0.00940608179964939	1431	0.482147246175634
Zm00001d043451	6	0.00940141824333597	1932	0.774854336392603
Zm00001d039625	6	0.00939445009928415	1557	0.591998363837079
Zm00001d046691	6	0.00936817392461895	287	0.0479582002285008
