id1	id2	trans	ribo	ppi
Zm00001d017485	Zm00001d002738	I	V	V
Zm00001d017592	Zm00001d002618	I	I	V
Zm00001d018694	Zm00001d007960	I	I	IV
Zm00001d018859	Zm00001d007904	I	III	III
Zm00001d018873	Zm00001d007900	I	II	IV
Zm00001d018882	Zm00001d007898	I	IV	III
Zm00001d018896	Zm00001d007890	I	IV	IV
Zm00001d018957	Zm00001d007824	I	I	IV
Zm00001d018979	Zm00001d007810	I	III	IV
Zm00001d019104	Zm00001d007760	I	IV	V
Zm00001d019106	Zm00001d007758	I	I	III
Zm00001d020201	Zm00001d005642	I	II	III
Zm00001d020584	Zm00001d005791	I	IV	III
Zm00001d020592	Zm00001d005793	I	I	IV
Zm00001d020618	Zm00001d005817	I	IV	IV
Zm00001d020986	Zm00001d006057	I	IV	III
Zm00001d021057	Zm00001d006094	I	I	V
Zm00001d021061	Zm00001d006100	I	I	III
Zm00001d021204	Zm00001d006168	I	IV	IV
Zm00001d021445	Zm00001d006287	I	III	III
Zm00001d021522	Zm00001d006410	I	IV	III
Zm00001d021635	Zm00001d006499	I	I	IV
Zm00001d021652	Zm00001d006510	I	III	III
Zm00001d022038	Zm00001d006757	I	II	IV
Zm00001d022180	Zm00001d006899	I	V	III
Zm00001d022444	Zm00001d007169	I	V	III
Zm00001d025413	Zm00001d003672	I	I	IV
Zm00001d025866	Zm00001d003014	I	IV	IV
Zm00001d025908	Zm00001d002869	I	I	IV
Zm00001d025948	Zm00001d002822	I	I	V
Zm00001d026177	Zm00001d017485	I	V	IV
Zm00001d026254	Zm00001d002395	I	IV	IV
Zm00001d026254	Zm00001d024373	I	IV	IV
Zm00001d026351	Zm00001d002234	I	II	III
Zm00001d026392	Zm00001d002155	I	V	IV
Zm00001d026458	Zm00001d002065	I	III	III
Zm00001d026469	Zm00001d002056	I	I	IV
Zm00001d026490	Zm00001d002006	I	I	IV
Zm00001d026540	Zm00001d001945	I	I	V
Zm00001d029973	Zm00001d000030	I	III	III
Zm00001d030310	Zm00001d028401	I	I	IV
Zm00001d032465	Zm00001d013860	I	IV	IV
Zm00001d033719	Zm00001d013443	I	I	III
Zm00001d033850	Zm00001d013367	I	IV	III
Zm00001d033870	Zm00001d013357	I	III	V
Zm00001d034399	Zm00001d013095	I	III	IV
Zm00001d034479	Zm00001d013066	I	I	IV
Zm00001d034790	Zm00001d012878	I	I	IV
Zm00001d036483	Zm00001d014665	I	II	IV
Zm00001d038374	Zm00001d010528	I	II	IV
Zm00001d038797	Zm00001d010790	I	II	IV
Zm00001d038923	Zm00001d009480	I	I	III
Zm00001d039299	Zm00001d009000	I	V	IV
Zm00001d039425	Zm00001d008874	I	I	IV
Zm00001d040274	Zm00001d008345	I	I	III
