id	per	type	omics
1	0.33	Maize1	Co-expression
1	0.17	Maize2	Co-expression
11	0.31	Maize1	Co-expression
11	0.18	Maize2	Co-expression
21	0.31	Maize1	Co-expression
21	0.16	Maize2	Co-expression
31	0.31	Maize1	Co-expression
31	0.14	Maize2	Co-expression
41	0.30	Maize1	Co-expression
41	0.15	Maize2	Co-expression
51	0.26	Maize1	Co-expression
51	0.14	Maize2	Co-expression
61	0.27	Maize1	Co-expression
61	0.13	Maize2	Co-expression
71	0.29	Maize1	Co-expression
71	0.12	Maize2	Co-expression
81	0.27	Maize1	Co-expression
81	0.14	Maize2	Co-expression
91	0.27	Maize1	Co-expression
91	0.16	Maize2	Co-expression
101	0.24	Maize1	Co-expression
101	0.17	Maize2	Co-expression
111	0.24	Maize1	Co-expression
111	0.17	Maize2	Co-expression
121	0.25	Maize1	Co-expression
121	0.19	Maize2	Co-expression
131	0.22	Maize1	Co-expression
131	0.22	Maize2	Co-expression
141	0.20	Maize1	Co-expression
141	0.23	Maize2	Co-expression
151	0.22	Maize1	Co-expression
151	0.25	Maize2	Co-expression
161	0.21	Maize1	Co-expression
161	0.31	Maize2	Co-expression
171	0.22	Maize1	Co-expression
171	0.29	Maize2	Co-expression
181	0.20	Maize1	Co-expression
181	0.29	Maize2	Co-expression
191	0.19	Maize1	Co-expression
191	0.30	Maize2	Co-expression
201	0.22	Maize1	Co-expression
201	0.29	Maize2	Co-expression
211	0.24	Maize1	Co-expression
211	0.28	Maize2	Co-expression
221	0.21	Maize1	Co-expression
221	0.25	Maize2	Co-expression
231	0.21	Maize1	Co-expression
231	0.23	Maize2	Co-expression
241	0.22	Maize1	Co-expression
241	0.24	Maize2	Co-expression
251	0.20	Maize1	Co-expression
251	0.23	Maize2	Co-expression
261	0.23	Maize1	Co-expression
261	0.20	Maize2	Co-expression
271	0.21	Maize1	Co-expression
271	0.22	Maize2	Co-expression
281	0.22	Maize1	Co-expression
281	0.22	Maize2	Co-expression
291	0.22	Maize1	Co-expression
291	0.20	Maize2	Co-expression
301	0.21	Maize1	Co-expression
301	0.20	Maize2	Co-expression
311	0.22	Maize1	Co-expression
311	0.20	Maize2	Co-expression
321	0.26	Maize1	Co-expression
321	0.21	Maize2	Co-expression
331	0.26	Maize1	Co-expression
331	0.20	Maize2	Co-expression
341	0.28	Maize1	Co-expression
341	0.17	Maize2	Co-expression
351	0.29	Maize1	Co-expression
351	0.17	Maize2	Co-expression
361	0.27	Maize1	Co-expression
361	0.18	Maize2	Co-expression
371	0.26	Maize1	Co-expression
371	0.17	Maize2	Co-expression
381	0.27	Maize1	Co-expression
381	0.15	Maize2	Co-expression
391	0.29	Maize1	Co-expression
391	0.16	Maize2	Co-expression
401	0.30	Maize1	Co-expression
401	0.17	Maize2	Co-expression
411	0.27	Maize1	Co-expression
411	0.16	Maize2	Co-expression
421	0.26	Maize1	Co-expression
421	0.16	Maize2	Co-expression
431	0.25	Maize1	Co-expression
431	0.15	Maize2	Co-expression
441	0.28	Maize1	Co-expression
441	0.17	Maize2	Co-expression
451	0.29	Maize1	Co-expression
451	0.14	Maize2	Co-expression
461	0.28	Maize1	Co-expression
461	0.11	Maize2	Co-expression
471	0.26	Maize1	Co-expression
471	0.10	Maize2	Co-expression
481	0.26	Maize1	Co-expression
481	0.11	Maize2	Co-expression
491	0.26	Maize1	Co-expression
491	0.12	Maize2	Co-expression
501	0.25	Maize1	Co-expression
501	0.12	Maize2	Co-expression
511	0.24	Maize1	Co-expression
511	0.17	Maize2	Co-expression
521	0.25	Maize1	Co-expression
521	0.18	Maize2	Co-expression
531	0.26	Maize1	Co-expression
531	0.19	Maize2	Co-expression
541	0.21	Maize1	Co-expression
541	0.22	Maize2	Co-expression
551	0.20	Maize1	Co-expression
551	0.23	Maize2	Co-expression
561	0.20	Maize1	Co-expression
561	0.23	Maize2	Co-expression
571	0.22	Maize1	Co-expression
571	0.26	Maize2	Co-expression
581	0.21	Maize1	Co-expression
581	0.25	Maize2	Co-expression
591	0.17	Maize1	Co-expression
591	0.25	Maize2	Co-expression
601	0.14	Maize1	Co-expression
601	0.23	Maize2	Co-expression
611	0.15	Maize1	Co-expression
611	0.18	Maize2	Co-expression
