Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d006510	9	0.002673108667698	249	0.0962793404119794
Zm00001d029142	9	0.00267339477514268	690	0.376724553969902
Zm00001d017707	9	0.00267362202174638	772	0.379903015334455
Zm00001d013469	9	0.00267412113795745	909	0.527467073433678
Zm00001d053059	9	0.00267216062331435	182	0.00311208979656885
Zm00001d032748	9	0.00267412955838326	1206	0.717441968592514
Zm00001d049605	9	0.00267369657666691	586	0.310086944710852
Zm00001d024815	9	0.00267257468418092	401	0.159405091790372
Zm00001d040169	9	0.00267435051326866	1115	0.657245217481021
Zm00001d014232	9	0.00267151656126055	91	0.0126568251577592
Zm00001d035593	9	0.00267513116527808	1222	0.640406113576459
Zm00001d006594	9	0.0026731479337214	419	0.254046157728134
Zm00001d002373	9	0.00267313150595901	528	0.274780924788853
Zm00001d017308	9	0.00267222708865699	253	0.0976046784186136
Zm00001d017216	9	0.00267401047443219	832	0.393226424711401
Zm00001d022527	9	0.00267421577055547	851	0.397773574685964
Zm00001d038681	10	0.00266937046323771	13	0.000973095849660807
Zm00001d038622	9	0.00267413837983861	1234	0.753462518042904
Zm00001d012463	9	0.00267239767147461	238	0.116755990134917
Zm00001d011158	9	0.00267229035392189	155	0.0790760367939549
Zm00001d026089	9	0.00267392387458376	1130	0.673502045854064
Zm00001d033037	9	0.00267306579692854	368	0.153230213162426
Zm00001d014866	9	0.00267375229515563	732	0.382642741125222
Zm00001d011096	9	0.00267431562322771	790	0.437749610766338
Zm00001d021898	9	0.00267468101121959	1474	0.85813286885421
Zm00001d006681	9	0.00267231638164106	163	0.0619524914707818
Zm00001d018360	9	0.00267099761476348	126	0.0292587765922746
Zm00001d028742	9	0.00267252101721838	268	0.00254885406036085
Zm00001d005573	9	0.00267347933682602	528	0.241814172435027
Zm00001d044333	9	0.00267200087977959	208	0.0682561493223215
Zm00001d029177	8	0.00267434369560288	643	0.245316086822221
Zm00001d013358	9	0.00267295482010912	514	0.274404049254099
Zm00001d043312	9	0.0026718959959165	148	0.039933159581403
Zm00001d032112	9	0.00267155217870668	120	0.0440177900777341
Zm00001d018718	9	0.00267310065436557	309	0.145369609886438
Zm00001d032718	9	0.00267416123569821	436	0.169666406523122
Zm00001d029104	9	0.00267372503689977	688	0.363115584158547
Zm00001d024423	9	0.00267344487028081	838	0.512734601070615
Zm00001d024823	9	0.00267216702946846	188	0.0655503986023163
Zm00001d014894	9	0.00267286668624031	322	0.165334828597148
Zm00001d048153	9	0.00267356149903538	372	0.166576656489522
Zm00001d021024	9	0.00267409066447869	685	0.381837009242611
Zm00001d014867	9	0.00267410309436642	1029	0.534920287764728
Zm00001d029444	9	0.00267390823909783	391	0.0216928341306474
Zm00001d012314	9	0.00267434850806923	1401	0.8129310630316
Zm00001d011360	9	0.00267407622991538	1019	0.560813452515515
Zm00001d049163	9	0.002674208552579	1104	0.531191128274028
Zm00001d034590	9	0.00267353224069406	681	0.281481635396602
Zm00001d038174	9	0.00267448326415928	1506	0.900274368740348
Zm00001d022301	9	0.00267287790295538	632	0.303152311149952
Zm00001d029123	9	0.00267196084679914	187	0.0839859612956259
Zm00001d012571	9	0.00267409266929148	1147	0.722219544571682
Zm00001d049958	9	0.00267407181938545	1155	0.647114021230068
Zm00001d007972	8	0.00267424664789466	1235	0.740657952318484
Zm00001d045819	9	0.00267347412670984	792	0.383492997625249
Zm00001d016374	9	0.00267413356812848	1014	0.585377627138556
Zm00001d031531	9	0.00267401849322042	608	0.311563262843673
Zm00001d021522	9	0.00267330901662431	504	0.299784342121515
Zm00001d025789	9	0.00267390663546859	582	0.27819281741205
Zm00001d036567	9	0.00267212939375296	252	0.121289778107985
Zm00001d033186	9	0.00267353785183317	397	0.167726850004411
Zm00001d002617	9	0.00267335991003456	521	0.251211140579483
Zm00001d011829	9	0.00267298286392263	186	0.0581639281376353
Zm00001d026578	9	0.00267175629699431	193	0.0867226941495897
Zm00001d047946	9	0.00267254945243007	423	0.245510638608817
Zm00001d029011	9	0.00267406139455436	651	0.384071660979262
Zm00001d034366	9	0.0026731723754001	261	0.0919501224682888
Zm00001d009690	9	0.00267426549545214	1283	0.783376455970172
