Gene	eccentricity	closeness	degree	eigen_centrality
ENSRNA049453644	15	0.00149510066456686	6	1.00517881127162e-12
ENSRNA049459300	15	0.00149477887861216	3	1.0026166199862e-12
ENSRNA049477007	14	0.00149673768139679	8	1.07035981496231e-09
ENSRNA049479084	16	0.00149386016726962	9	4.39818237053662e-15
Zm00001d000282	15	0.00149531839006143	15	1.82284932730107e-12
Zm00001d009586	15	0.00149522417875379	9	9.13659179235817e-13
zma-MIR156g	15	0.00149477887861216	3	1.00261679363522e-12
ENSRNA049453693	15	0.00150041090743732	3	0.00165843824125227
Zm00001d017986	14	0.00150237346908257	1197	0.645055388654124
Zm00001d018600	14	0.00150206358154572	686	0.409433396204278
Zm00001d031766	14	0.00150248556948451	1348	0.719327394175321
ENSRNA049453717	15	0.00149894781210899	5	4.34393690423022e-05
Zm00001d002829	14	0.00150083027227736	75	0.0161554002381344
Zm00001d002982	14	0.00150105306060411	99	0.0215022124173186
Zm00001d013895	14	0.0015005788672912	48	0.0057798825015472
Zm00001d040006	14	0.00150038513594589	37	0.00293530838865692
Zm00001d042554	15	0.0014991449169391	12	8.86525988088166e-05
ENSRNA049454976	18	0.00149157017542664	63	1.66703058895892e-17
Zm00001d000139	17	0.00149289263232693	112	3.33406117791784e-17
Zm00001d002699	17	0.00149291335550049	110	3.88973804090414e-17
Zm00001d002783	17	0.0014935833952315	135	6.66812235583568e-17
Zm00001d005005	17	0.00149350402807011	132	4.44541490389045e-17
Zm00001d005077	17	0.00149350414795372	132	4.44541490389045e-17
Zm00001d005581	17	0.00149350246958492	126	3.33406117791784e-17
Zm00001d007586	17	0.00149346171035801	126	5.55676862986306e-17
Zm00001d007893	17	0.00149302249106863	113	3.33406117791784e-17
Zm00001d009798	17	0.001492965106053	121	6.66812235583568e-17
Zm00001d011101	17	0.00149293887094953	108	4.44541490389045e-17
Zm00001d012227	17	0.00149296786139134	127	5.55676862986306e-17
Zm00001d012252	17	0.00149341040484698	100	3.88973804090414e-17
Zm00001d014931	17	0.0014935222505998	134	6.66812235583568e-17
Zm00001d014933	17	0.00149351373870493	115	3.33406117791784e-17
Zm00001d015592	17	0.0014929676217963	125	5.55676862986306e-17
Zm00001d015644	17	0.00149350318888537	127	5.55676862986306e-17
Zm00001d015733	17	0.00149296846037928	131	6.66812235583568e-17
Zm00001d016395	17	0.00149296822078405	129	3.33406117791784e-17
Zm00001d016511	17	0.0014929666634169	126	5.55676862986306e-17
Zm00001d016794	17	0.00149296858017693	132	2.22270745194523e-17
Zm00001d019258	18	0.0014915485329659	8	4.86217255113018e-18
Zm00001d019371	17	0.00149350330876885	122	2.22270745194523e-17
Zm00001d019628	17	0.00149296786139134	127	2.22270745194523e-17
Zm00001d020122	17	0.00149296810098646	128	5.55676862986306e-17
Zm00001d020243	17	0.00149352213071329	134	3.33406117791784e-17
Zm00001d021075	19	0.00148942918343002	3	8.68245098416104e-19
Zm00001d023973	17	0.00149350115086922	124	3.33406117791784e-17
Zm00001d026512	17	0.00149361900529438	132	4.44541490389045e-17
Zm00001d027837	17	0.00149296390808298	120	6.66812235583568e-17
Zm00001d028828	17	0.00149322031749109	91	5.55676862986306e-17
Zm00001d029222	17	0.00149350414795372	133	2.22270745194523e-17
Zm00001d029683	17	0.00149297672646197	128	5.55676862986306e-17
Zm00001d032492	17	0.00149296834058166	130	4.44541490389045e-17
Zm00001d033821	17	0.00149296822078405	129	5.55676862986306e-17
Zm00001d034312	17	0.00149290964205714	83	3.88973804090414e-17
Zm00001d034983	17	0.00149291431381146	108	3.33406117791784e-17
Zm00001d036270	17	0.00149352201082679	132	3.33406117791784e-17
Zm00001d036773	17	0.0014935222505998	135	2.22270745194523e-17
Zm00001d037044	17	0.00149289047619162	109	3.88973804090414e-17
Zm00001d037701	17	0.00149351985287312	123	2.22270745194523e-17
Zm00001d037890	17	0.00149350390818651	132	2.22270745194523e-17
Zm00001d039195	17	0.00149296810098646	129	4.44541490389045e-17
Zm00001d039549	17	0.0014929660644304	125	3.33406117791784e-17
Zm00001d039875	17	0.00149350306900191	126	5.55676862986306e-17
Zm00001d039927	17	0.0014935222505998	135	3.33406117791784e-17
Zm00001d040630	17	0.00149296810098646	129	5.55676862986306e-17
Zm00001d042164	17	0.0014935222505998	135	4.44541490389045e-17
Zm00001d043311	17	0.00149294378247409	126	4.44541490389045e-17
Zm00001d044588	17	0.0014936919093053	126	5.55676862986306e-17
Zm00001d045201	17	0.00149296786139134	128	2.22270745194523e-17
Zm00001d046537	17	0.00149296702280903	125	3.33406117791784e-17
Zm00001d046772	17	0.00149352213071329	133	5.55676862986306e-17
Zm00001d047417	17	0.00149350390818651	132	5.55676862986306e-17
Zm00001d047858	17	0.00149352177105385	131	5.55676862986306e-17
Zm00001d048337	17	0.00149352141139459	129	5.55676862986306e-17
Zm00001d048618	17	0.00149296846037928	130	4.44541490389045e-17
Zm00001d049374	17	0.00149268770752499	36	1.38919215746577e-17
Zm00001d049532	17	0.00149296558524155	123	3.33406117791784e-17
Zm00001d050303	17	0.00149299601434419	132	3.33406117791784e-17
Zm00001d050552	17	0.00149296259031818	114	3.33406117791784e-17
Zm00001d052736	17	0.00149294198557112	118	3.33406117791784e-17
Zm00001d053008	17	0.00149350402807011	133	5.55676862986306e-17
Zm00001d054095	17	0.00149299553513611	130	3.33406117791784e-17
ENSRNA049455425	15	0.00149485633961375	43	2.42302896105179e-14
ENSRNA049463790	16	0.00149270674842885	4	5.20947059049662e-17
ENSRNA049474094	15	0.00149494870283512	32	3.4371392360018e-14
ENSRNA049479077	15	0.00149481646721185	22	1.99168479615867e-14
Zm00001d000460	15	0.00149485814112791	39	2.99982154483158e-14
Zm00001d001817	15	0.00149645189855398	188	1.12682376983815e-12
Zm00001d003994	14	0.00149666532251545	206	2.89087553907448e-12
Zm00001d004534	15	0.00149661126861574	161	8.06620534310922e-13
Zm00001d007971	15	0.00149565255137538	99	1.37413331447884e-13
Zm00001d008076	16	0.00149270459283044	2	2.43108627556509e-17
Zm00001d008562	15	0.00149654891284239	147	9.89627152366833e-13
Zm00001d009351	15	0.00149465087539017	30	9.20200885105323e-15
Zm00001d011592	14	0.00149659333177019	214	2.35989295587929e-12
Zm00001d012330	15	0.00149488216173169	50	2.98342907737348e-14
Zm00001d018711	15	0.00149643203985982	165	8.23168591290655e-13
Zm00001d022323	15	0.00149469626239174	28	1.15302949069659e-14
Zm00001d023418	15	0.00149473828985101	38	1.83984609334766e-14
Zm00001d024665	14	0.00149655529263463	105	9.48040295940937e-13
Zm00001d024990	15	0.00149562742398393	77	1.02472370303305e-13
Zm00001d025148	14	0.0014967243167505	192	1.3592967422371e-12
Zm00001d027717	15	0.00149642205053412	188	1.08090263388096e-12
Zm00001d028874	15	0.00149614998296467	130	2.21637273570718e-13
Zm00001d029357	15	0.00149436456857271	5	1.53714112223587e-15
Zm00001d032791	15	0.00149516326015985	38	2.2560480637244e-14
Zm00001d032794	15	0.00149589148411152	104	1.91602939126308e-13
Zm00001d033071	14	0.00149676296651566	154	3.30788879767118e-12
Zm00001d036716	15	0.00149488011995035	10	3.12359856606178e-15
