Gene stable ID	Zea mays paralogue gene stable ID	Evalue	Paralogue last common ancestor with Zea mays	Paralogue %id. target Zea mays gene identical to query gene	Paralogue %id. query gene identical to target Zea mays gene	Paralogue dN with Zea mays	Paralogue dS with Zea mays
Zm00001d047373	Zm00001d029782	5e-75	11_Andropogoneae	86.6319	84.1484	0.0733	0.16
Zm00001d048121	Zm00001d028036	1e-37	12_Zea mays	15.6352	69.5652	0.2031	1.0113
Zm00001d052855	Zm00001d020898	0.0	06_Mesangiospermae	90.2718	88.9986	0.056	2.1342
Zm00001d043906	Zm00001d011562	0.0	12_Zea mays	65.7559	62.4567	0.2372	0.5236
Zm00001d050833	Zm00001d016879	0.0	12_Zea mays	92.6121	96.6942	0.0138	0.6145
Zm00001d046297	Zm00001d037000	2e-24	12_Zea mays	67.8363	61.3757	0.1821	1.719
Zm00001d019314	Zm00001d005473	0.0	12_Zea mays	82.0779	77.6413	0.0933	0.2212
Zm00001d036510	Zm00001d000303	2e-31	09_Poaceae	39.3701	37.1747	0.4278	93.0555
Zm00001d042480	Zm00001d012146	0.0	12_Zea mays	82.2222	87.5467	0.0679	0.1994
Zm00001d017197	Zm00001d003123	4e-172	09_Poaceae	47.0514	42.4689	0.4381	2.0178
Zm00001d025361	Zm00001d003763	2e-32	12_Zea mays	85.5856	72.5191	0.0677	0.2067
Zm00001d032081	Zm00001d020607	6e-11	09_Poaceae	61.0687	59.2593	0.199	1.4513
Zm00001d011444	Zm00001d009667	0.0	09_Poaceae	60.8133	63.7597	0.1822	1.9902
Zm00001d042357	Zm00001d012043	8e-72	11_Andropogoneae	26.8293	61.1111	0.2725	0.8811
Zm00001d043877	Zm00001d011589	5e-76	12_Zea mays	41.3374	38.2022	0.5402	0.9332
Zm00001d017204	Zm00001d003108	9e-106	09_Poaceae	66.0633	64.0351	0.2581	3.0975
Zm00001d038514	Zm00001d010627	1e-103	12_Zea mays	83.6283	83.6283	0.0539	0.5741
Zm00001d017754	Zm00001d002418	7e-68	09_Poaceae	62.8055	64.4493	0.2175	0.9955
Zm00001d053890	Zm00001d015233	2e-118	12_Zea mays	62.6556	56.8738	0.1995	0.5958
Zm00001d050400	Zm00001d032206	0.0	11_Andropogoneae	84.507	79.5756	0.0755	0.202
Zm00001d034184	Zm00001d013185	0.0	12_Zea mays	89.3411	90.2153	0.0435	0.6178
Zm00001d042536	Zm00001d012173	0.0	11_Andropogoneae	96.831	85.1393	0.0143	0.2038
Zm00001d043050	Zm00001d012500	1e-61	12_Zea mays	80.6283	85.0829	0.058	0.2241
Zm00001d021520	Zm00001d006409	3e-118	12_Zea mays	88.2784	88.9299	0.0635	0.1418
Zm00001d042307	Zm00001d011987	2e-68	12_Zea mays	58.8542	74.3421	0.0983	0.3203
Zm00001d029214	Zm00001d007077	1e-84	09_Poaceae	48.0952	66.0131	0.2031	1.2509
Zm00001d051465	Zm00001d017614	2e-169	12_Zea mays	65.1877	68.9531	0.1767	0.432
Zm00001d044951	Zm00001d037160	0.0	12_Zea mays	89.2308	90.8616	0.0307	0.4698
Zm00001d026267	Zm00001d002371	0.0	11_Andropogoneae	97.8313	97.8313	0.0113	0.1702
Zm00001d033848	Zm00001d013370	6e-162	11_Andropogoneae	75.5495	73.7265	0.0785	0.4719
Zm00001d011377	Zm00001d009714	0.0	09_Poaceae	74.7557	79.6875	0.1148	0.9851
Zm00001d025522	Zm00001d003535	3e-44	12_Zea mays	12.9293	45.7143	0.4095	0.5589
Zm00001d022500	Zm00001d007107	6e-21	08_commelinids	59.116	26.1614	0.2775	1.0896
Zm00001d021514	Zm00001d006396	8e-50	11_Andropogoneae	62.931	65.1786	0.2063	0.3506
Zm00001d044831	Zm00001d037227	0.0	12_Zea mays	78.1701	82.8231	0.0943	0.1723
Zm00001d020592	Zm00001d005793	1e-26	12_Zea mays	58.7444	71.5847	0.1427	0.438
Zm00001d026582	Zm00001d001895	0.0	12_Zea mays	82.6613	88.9371	0.0612	0.1602
Zm00001d025741	Zm00001d003234	7e-19	10_Panicoideae	30.0613	26.4865	0.6569	2.6032
Zm00001d025588	Zm00001d003431	0.0	12_Zea mays	93.9609	94.1281	0.0227	0.6761
Zm00001d026133	Zm00001d002675	2e-75	10_Panicoideae	55.6962	55.6962	0.2917	1.5809
Zm00001d024928	Zm00001d004541	0.0	12_Zea mays	88.5714	90.8558	0.0435	0.0867
Zm00001d043243	Zm00001d012605	0.0	12_Zea mays	86.1386	86.8263	0.0532	0.4253
Zm00001d032181	Zm00001d020450	1e-60	09_Poaceae	94.958	94.1667	0.0224	1.0053
Zm00001d046974	Zm00001d036632	7e-120	12_Zea mays	78.635	73.8162	0.1152	0.2101
Zm00001d051899	Zm00001d018502	8e-158	11_Andropogoneae	81.4815	69.7674	0.0807	0.6013
Zm00001d049581	Zm00001d024627	3e-147	12_Zea mays	86.0058	88.3234	0.0566	0.2301
Zm00001d047762	Zm00001d042962	5e-14	05_Magnoliophyta	49.6583	52.2782	0.3065	3.1029
Zm00001d036351	Zm00001d014865	0.0	11_Andropogoneae	30.5655	97.561	0.0118	0.2166
Zm00001d029740	Zm00001d002570	2e-81	03_Embryophyta	63.125	63.522	0.2397	2.2506
Zm00001d019259	Zm00001d005174	2e-113	09_Poaceae	47.4359	45.122	0.4045	51.6685
Zm00001d017499	Zm00001d002727	5e-41	09_Poaceae	24.2424	25.6881	0.5894	13.8729
Zm00001d048345	Zm00001d027523	0.0	12_Zea mays	94.902	94.5312	0.0235	0.2349
Zm00001d043024	Zm00001d012480	4e-60	12_Zea mays	76.4706	74.7126	0.1103	0.7724
Zm00001d042977	Zm00001d012451	0.0	11_Andropogoneae	91.6399	82.6087	0.0451	0.1707
Zm00001d051587	Zm00001d017791	4e-141	11_Andropogoneae	83.3333	32.1593	0.0957	0.1683
Zm00001d044100	Zm00001d039112	2e-23	09_Poaceae	40.613	37.3239	0.4036	91.2888
Zm00001d052798	Zm00001d031266	5e-107	11_Andropogoneae	60.9589	55.7994	0.2848	1.1309
Zm00001d052890	Zm00001d006028	1e-53	09_Poaceae	47.3039	50.3916	0.3345	1.0177
Zm00001d034689	Zm00001d012931	0.0	12_Zea mays	92.668	92.668	0.0375	0.1353
Zm00001d043563	Zm00001d038775	0.0	09_Poaceae	60.3403	80.1739	0.0888	0.8039
Zm00001d017539	Zm00001d002679	0.0	09_Poaceae	61.2836	63.2479	0.2178	2.006
Zm00001d047680	Zm00001d028829	0.0	12_Zea mays	87.5494	88.4232	0.0487	0.3295
Zm00001d051307	Zm00001d002819	3e-130	09_Poaceae	59.3284	62.2309	0.2474	0.9609
Zm00001d013049	Zm00001d007760	0.0	08_commelinids	81.5484	81.2339	0.1047	0.8258
Zm00001d016952	Zm00001d003412	7e-102	09_Poaceae	62.1622	49.4033	0.1662	1.5952
Zm00001d053433	Zm00001d016136	4e-87	12_Zea mays	77.9006	77.0492	0.1241	0.3743
Zm00001d047207	Zm00001d022188	2e-31	09_Poaceae	37.2222	43.2258	0.4717	17.82
Zm00001d021306	Zm00001d006219	0.0	12_Zea mays	97.0588	92.6316	0.0148	0.151
Zm00001d043248	Zm00001d038612	2e-54	09_Poaceae	29.1667	32	0.3899	2.0913
Zm00001d034152	Zm00001d013206	0.0	12_Zea mays	87.1523	88.4409	0.0587	0.1049
Zm00001d034095	Zm00001d013231	0.0	09_Poaceae	51.1111	45.5446	0.3092	1.7543
