Gene stable ID	Zea mays paralogue gene stable ID	Evalue	Paralogue last common ancestor with Zea mays	Paralogue %id. target Zea mays gene identical to query gene	Paralogue %id. query gene identical to target Zea mays gene	Paralogue dN with Zea mays	Paralogue dS with Zea mays
Zm00001d013615	Zm00001d013614	1e-39	12_Zea mays	28.3843	84.4156	0.1033	0.2359
Zm00001d025603	Zm00001d025598	1e-66	12_Zea mays	81.3008	19.5695	0.1274	0.7133
Zm00001d035722	Zm00001d035720	0.0	12_Zea mays	97.9221	100	0	0
Zm00001d021697	Zm00001d021695	1e-30	11_Andropogoneae	60.7194	65.2241	0.2	1.3266
Zm00001d027601	Zm00001d027599	0.0	09_Poaceae	58.1308	60.0386	0.2329	72.9373
Zm00001d048255	Zm00001d048252	1e-133	12_Zea mays	96.7391	63.3452	0.0167	0.0348
Zm00001d043981	Zm00001d043975	2e-170	12_Zea mays	97.4895	97.4895	0.0117	0.0665
Zm00001d052831	Zm00001d052829	8e-167	12_Zea mays	81.3299	84.5745	0.0754	0.306
Zm00001d003941	Zm00001d003939	0.0	07_Petrosaviidae	61.7176	53.5354	0.2364	2.2956
Zm00001d037133	Zm00001d037128	0.0	12_Zea mays	94.6903	94.6903	0.0241	0.0821
Zm00001d052421	Zm00001d052420	7e-147	11_Andropogoneae	79.1971	30.6931	0.1252	0.5767
Zm00001d007815	Zm00001d007810	4e-109	12_Zea mays	83.9662	70.8185	0.0572	0.1298
Zm00001d022323	Zm00001d022320	1e-147	10_Panicoideae	67.0554	64.6067	0.1869	1.8478
Zm00001d023698	Zm00001d023695	3e-175	09_Poaceae	62.0773	72.5989	0.1644	0.8735
Zm00001d051202	Zm00001d051200	0.0	12_Zea mays	96.3855	96.3855	0.0137	0.0299
Zm00001d017571	Zm00001d017570	0.0	12_Zea mays	94.2623	94.0695	0.0254	0.1369
Zm00001d052091	Zm00001d052090	5e-112	12_Zea mays	61.3811	71.0059	0.131	0.304
Zm00001d025924	Zm00001d025922	8e-111	10_Panicoideae	59.9415	65.9164	0.2076	1.064
Zm00001d003155	Zm00001d003151	9e-179	12_Zea mays	100	100	0	0
Zm00001d052170	Zm00001d052168	2e-144	03_Embryophyta	39.1597	39.5586	0.3736	53.1166
Zm00001d038526	Zm00001d038523	1e-36	12_Zea mays	65.9091	87.8788	0.0565	0.1296
Zm00001d002229	Zm00001d002203	5e-103	12_Zea mays	97.9058	97.9058	0.0087	0.0202
Zm00001d035401	Zm00001d035400	0.0	09_Poaceae	37.2521	42.5566	0.4652	1.1108
Zm00001d033256	Zm00001d033254	2e-151	11_Andropogoneae	81.9413	84.6154	0.0698	0.9307
Zm00001d018652	Zm00001d018650	1e-173	10_Panicoideae	69.1824	71.2743	0.1302	0.6141
Zm00001d025193	Zm00001d025185	0.0	12_Zea mays	89.5442	97.3761	0.0112	0.0956
Zm00001d034387	Zm00001d034385	0.0	10_Panicoideae	76.492	77.3932	0.1383	0.6121
Zm00001d025812	Zm00001d025808	0.0	12_Zea mays	98.5348	98.5348	0.0068	0.0282
Zm00001d035684	Zm00001d035683	4e-43	12_Zea mays	95.7143	94.3662	0.0172	0.1238
Zm00001d033067	Zm00001d033066	0.0	09_Poaceae	56.6295	59.5052	0.2299	2.4022
Zm00001d027605	Zm00001d027601	2e-57	10_Panicoideae	49.763	19.6262	0.2582	1.2339
Zm00001d052793	Zm00001d052792	0.0	09_Poaceae	70.1995	72.739	0.158	1.4397
