Gene stable ID	Zea mays paralogue gene stable ID	Evalue	Paralogue last common ancestor with Zea mays	Paralogue %id. target Zea mays gene identical to query gene	Paralogue %id. query gene identical to target Zea mays gene	Paralogue dN with Zea mays	Paralogue dS with Zea mays
Zm00001d043443	Zm00001d035984	3e-29	05_Magnoliophyta	17.8808	41.5385	0.4654	87.392
Zm00001d053834	Zm00001d036717	4e-72	01_Eukaryota	29.9213	74.5098	0.2	79.5285
Zm00001d037051	Zm00001d016063	0.0	03_Embryophyta	83.9552	80.9352	0.0893	1.1647
Zm00001d006773	Zm00001d002876	2e-102	07_Petrosaviidae	48.139	17.8473	0.3848	5.0541
Zm00001d047632	Zm00001d000219	9e-62	11_Andropogoneae	8.23328	86.4865	0.1073	0.2395
Zm00001d046350	Zm00001d003900	4e-164	12_Zea mays	63.7681	92.0502	0.0371	0.0613
Zm00001d034124	Zm00001d013053	5e-52	02_Viridiplantae	25.3769	28.2123	0.4903	19.2211
Zm00001d042490	Zm00001d015186	1e-141	09_Poaceae	48.374	48.7705	0.3402	139.2457
Zm00001d025474	Zm00001d002091	0.0	05_Magnoliophyta	56.7296	59.4987	0.2825	7.9648
Zm00001d028780	Zm00001d026634	2e-20	05_Magnoliophyta	28.2178	25.9091	0.7009	65.9745
Zm00001d052392	Zm00001d025358	0.0	12_Zea mays	66.5746	83.6806	0.0717	0.3691
Zm00001d039243	Zm00001d028560	6e-89	03_Embryophyta	41.6446	26.2982	0.5289	74.1041
Zm00001d018998	Zm00001d018306	3e-34	10_Panicoideae	22.0253	37.8261	0.3879	1.2776
Zm00001d049068	Zm00001d040752	7e-74	06_Mesangiospermae	77.8351	78.2383	0.1259	2.5701
Zm00001d012306	Zm00001d012301	2e-105	12_Zea mays	100	100	0	0
Zm00001d042974	Zm00001d006780	3e-48	01_Eukaryota	40	12.2159	0.6321	61.8386
Zm00001d010920	Zm00001d009146	0.0	03_Embryophyta	78.9809	87.1194	0.0736	10.3047
Zm00001d044420	Zm00001d034239	3e-78	01_Eukaryota	24.8082	27.2472	0.7073	7.7026
Zm00001d034004	Zm00001d003648	4e-80	05_Magnoliophyta	11.6848	12.6378	0.9623	19.2976
Zm00001d034488	Zm00001d007941	4e-59	09_Poaceae	44.1176	46.7128	0.3404	118.2541
Zm00001d032132	Zm00001d020558	5e-13	09_Poaceae	56.25	54.2169	0.2837	7.5668
Zm00001d044122	Zm00001d042594	5e-19	05_Magnoliophyta	17.9272	36.1582	0.5401	7.4233
Zm00001d006562	Zm00001d003313	8e-11	04_Tracheophyta	24.0157	25.523	0.9464	63.5837
Zm00001d032214	Zm00001d024952	1e-175	12_Zea mays	73.3894	29.3722	0.1766	0.3275
Zm00001d040614	Zm00001d037974	8e-57	09_Poaceae	54.5852	56.0538	0.3054	3.364
Zm00001d052776	Zm00001d023468	4e-90	09_Poaceae	76.5258	76.5258	0.1208	1.8429
Zm00001d037811	Zm00001d010421	0.0	12_Zea mays	68.6869	50.0736	0.0818	0.3191
Zm00001d041759	Zm00001d010625	0.0	03_Embryophyta	63.3136	65.9138	0.2086	65.4146
Zm00001d034916	Zm00001d006171	9e-34	03_Embryophyta	36.8313	33.6466	0.5506	96.8869
Zm00001d045887	Zm00001d017853	6e-149	09_Poaceae	56.1856	40.1473	0.2967	0.9812
Zm00001d028218	Zm00001d028038	6e-44	01_Eukaryota	16.445	22.0065	0.8988	26.6853
Zm00001d041913	Zm00001d014960	9e-23	05_Magnoliophyta	34.2995	33.2553	0.5311	12.1931
Zm00001d051529	Zm00001d015459	0.0	05_Magnoliophyta	49.6845	53.6627	0.2602	51.1196
Zm00001d046644	Zm00001d024364	3e-17	05_Magnoliophyta	7.04225	5.05051	0.5878	68.5245
Zm00001d039047	Zm00001d018405	4e-38	01_Eukaryota	12.3001	31.4465	0.8006	67.4232
Zm00001d034206	Zm00001d004674	0.0	12_Zea mays	61.3553	85.0254	0.0924	0.1954
Zm00001d042179	Zm00001d007753	7e-70	10_Panicoideae	47.7855	53.3854	0.2872	7.7977
Zm00001d053559	Zm00001d033448	0.0	04_Tracheophyta	43.5037	40	0.4218	72.291
Zm00001d044136	Zm00001d041596	4e-66	05_Magnoliophyta	43.3028	39.6639	0.3949	104.0429
Zm00001d042367	Zm00001d017668	2e-60	12_Zea mays	26.7748	82.5	0.1107	0.3345
Zm00001d039750	Zm00001d011252	6e-60	09_Poaceae	50.3497	48.1605	0.4289	3.8757
Zm00001d027392	Zm00001d014865	0.0	02_Viridiplantae	18.9358	59.0244	0.291	56.1495
Zm00001d048447	Zm00001d039647	0.0	09_Poaceae	40.553	52.5373	0.2811	1.2088
Zm00001d043515	Zm00001d016277	1e-54	07_Petrosaviidae	32.493	38.796	0.4766	2.4272
Zm00001d048532	Zm00001d011959	2e-78	03_Embryophyta	35.9813	36.5796	0.5398	57.0758
Zm00001d039584	Zm00001d002794	4e-40	05_Magnoliophyta	30.0341	30.9859	0.4677	100.8307
Zm00001d016493	Zm00001d003051	2e-43	05_Magnoliophyta	46.8208	59.1241	0.3268	101.4603
Zm00001d050256	Zm00001d034337	6e-38	01_Eukaryota	41.958	19.1083	0.5462	67.8548
Zm00001d048983	Zm00001d041789	0.0	09_Poaceae	79.7468	28.7016	0.131	1.4293
Zm00001d031911	Zm00001d028182	2e-32	05_Magnoliophyta	18.5185	26.57	0.6233	97.667
Zm00001d050254	Zm00001d012415	2e-139	09_Poaceae	92.7966	50.3448	0.04	0.2004
Zm00001d003784	Zm00001d000117	8e-103	09_Poaceae	68.1013	67.7582	0.1633	2.2736
Zm00001d025889	Zm00001d012466	0.0	03_Embryophyta	42.6052	44.9857	0.3616	14.1148
Zm00001d029011	Zm00001d026712	0.0	03_Embryophyta	61.5509	61.1557	0.2716	86.6808
Zm00001d050873	Zm00001d048311	0.0	07_Petrosaviidae	51.7625	52.8409	0.283	4.2712
Zm00001d034886	Zm00001d016520	4e-51	05_Magnoliophyta	25.6167	25.5682	0.6816	70.8115
Zm00001d037732	Zm00001d033767	2e-86	12_Zea mays	78.3626	67.3367	0.0531	0.0997
Zm00001d029948	Zm00001d028447	7e-97	03_Embryophyta	28.5496	35.3497	0.443	62.1408
