Gene stable ID	Zea mays paralogue gene stable ID	Evalue	Paralogue last common ancestor with Zea mays	Paralogue %id. target Zea mays gene identical to query gene	Paralogue %id. query gene identical to target Zea mays gene	Paralogue dN with Zea mays	Paralogue dS with Zea mays
Zm00001d043431	Zm00001d038698	0.0	09_Poaceae	52.6012	53.5294	0.3691	1.0546
Zm00001d017329	Zm00001d005620	4e-157	09_Poaceae	48.7329	52.521	0.308	1.3996
Zm00001d026097	Zm00001d017573	0.0	09_Poaceae	34.6774	37.9093	0.5796	1.4989
Zm00001d022034	Zm00001d002718	2e-177	12_Zea mays	91.5033	38.835	0.0454	0.1851
Zm00001d025861	Zm00001d018435	7e-84	09_Poaceae	48.4642	47.973	0.2859	133.11279
Zm00001d043192	Zm00001d020948	2e-166	12_Zea mays	55.1456	78.022	0.1253	0.351
Zm00001d022126	Zm00001d020631	3e-118	06_Mesangiospermae	53.159	53.159	0.2268	5.5021
Zm00001d048538	Zm00001d045645	8e-143	12_Zea mays	68.6154	83.8346	0.0769	0.1049
Zm00001d037701	Zm00001d008837	9e-123	08_commelinids	39.924	41.0959	0.4555	10.2121
Zm00001d026344	Zm00001d000005	0.0	09_Poaceae	59.0975	58.926	0.2601	1.4531
Zm00001d049436	Zm00001d049420	3e-165	12_Zea mays	98.6842	98.6842	0.0067	0.0274
Zm00001d033056	Zm00001d023410	2e-96	05_Magnoliophyta	38.4783	47.9675	0.4312	68.6658
Zm00001d038147	Zm00001d034432	1e-65	03_Embryophyta	49.2424	50.3876	0.3619	7.2693
Zm00001d030848	Zm00001d009385	2e-110	12_Zea mays	74.0351	50.8434	0.1459	0.2743
Zm00001d048539	Zm00001d029848	0.0	09_Poaceae	69.2483	72.9017	0.1653	1.676
Zm00001d053434	Zm00001d016139	7e-23	09_Poaceae	33.5616	26.9231	0.4754	3.6287
Zm00001d042921	Zm00001d039854	0.0	06_Mesangiospermae	58.2692	56.4246	0.271	3.4312
Zm00001d034809	Zm00001d005406	3e-15	01_Eukaryota	11.3636	14.0056	1.2334	3.2379
Zm00001d026252	Zm00001d004086	8e-68	06_Mesangiospermae	53.481	51.0574	0.2365	36.5447
Zm00001d043312	Zm00001d007904	0.0	02_Viridiplantae	65.8013	63.3075	0.2176	3.0533
Zm00001d051776	Zm00001d030809	0.0	12_Zea mays	49.6552	50.3497	0.2136	0.3726
Zm00001d025057	Zm00001d000060	6e-108	09_Poaceae	51.1182	44.6927	0.3606	98.7613
Zm00001d025182	Zm00001d004036	1e-178	12_Zea mays	83.3333	84.1584	0.0921	0.1669
Zm00001d040911	Zm00001d038307	5e-86	12_Zea mays	59.0406	61.3027	0.197	0.7157
Zm00001d021456	Zm00001d006280	4e-52	10_Panicoideae	55.6962	67.6923	0.1846	1.8455
Zm00001d047992	Zm00001d041448	5e-33	10_Panicoideae	41.4773	25.7042	0.4743	0.6826
Zm00001d028194	Zm00001d011706	2e-180	05_Magnoliophyta	48.6792	54.3158	0.3869	2.6955
Zm00001d021139	Zm00001d012457	0.0	05_Magnoliophyta	51.5679	55.2239	0.291	9.4661
Zm00001d032806	Zm00001d000216	8e-122	05_Magnoliophyta	44.213	43.6073	0.333	163.0097
Zm00001d051502	Zm00001d029758	0.0	05_Magnoliophyta	55.516	57.7778	0.2784	1.7605
Zm00001d032266	Zm00001d013839	3e-19	01_Eukaryota	32.2034	20.8791	0.5222	63.6517
Zm00001d047125	Zm00001d022258	7e-145	05_Magnoliophyta	40.0394	49.1525	0.3699	67.2957
Zm00001d016297	Zm00001d015885	5e-92	12_Zea mays	51.8248	46.7105	0.0866	0.1148
Zm00001d054062	Zm00001d031466	3e-12	10_Panicoideae	41.0783	52.7183	0.3702	2.0271
Zm00001d025953	Zm00001d018421	2e-32	03_Embryophyta	25.6818	26.7773	0.5223	9.0012
Zm00001d014625	Zm00001d003209	1e-96	05_Magnoliophyta	36.3636	36.9478	0.4582	151.3454
Zm00001d047813	Zm00001d030744	0.0	05_Magnoliophyta	32.2075	54.2683	0.3003	69.4771
Zm00001d039669	Zm00001d022092	4e-75	07_Petrosaviidae	40.1146	40.8163	0.4039	12.1585
Zm00001d007767	Zm00001d005468	3e-79	05_Magnoliophyta	61.2613	53.7549	0.3072	11.839
Zm00001d043632	Zm00001d009740	9e-53	07_Petrosaviidae	57.672	57.9787	0.2593	3.6718
Zm00001d034962	Zm00001d011579	2e-124	05_Magnoliophyta	24.3764	22.4895	0.7322	67.0026
Zm00001d048031	Zm00001d039938	0.0	12_Zea mays	30.3712	97.4729	0.0177	0.0437
Zm00001d048297	Zm00001d010048	2e-15	03_Embryophyta	22.0497	19.346	0.6098	78.3294
Zm00001d038061	Zm00001d009985	9e-73	12_Zea mays	80.8824	87.3016	0.0577	0.4917
Zm00001d015224	Zm00001d015217	2e-167	12_Zea mays	92.1429	65.8163	0.0422	0.1561
Zm00001d035689	Zm00001d011787	5e-172	09_Poaceae	66.8435	65.4545	0.1612	2.2996
Zm00001d032620	Zm00001d001832	3e-34	08_commelinids	36.4963	39.8406	0.4406	33.8704
Zm00001d038048	Zm00001d015325	1e-175	06_Mesangiospermae	56.6449	55.3191	0.295	7.1033
Zm00001d052136	Zm00001d024851	3e-84	05_Magnoliophyta	47.3684	48.5714	0.3212	139.1451
Zm00001d015731	Zm00001d003002	4e-142	05_Magnoliophyta	49.0783	49.42	0.4195	54.006
Zm00001d042436	Zm00001d010329	2e-27	06_Mesangiospermae	23.9691	22.1429	0.7727	83.7641
Zm00001d044242	Zm00001d042989	3e-20	04_Tracheophyta	9.35551	21.327	0.5197	107.6953
Zm00001d051121	Zm00001d025509	3e-41	03_Embryophyta	54.0541	42.8571	0.2525	150.63969
Zm00001d028816	Zm00001d028814	1e-98	10_Panicoideae	85.625	85.625	0.0617	0.9785
