Gene stable ID	Zea mays paralogue gene stable ID	Evalue	Paralogue last common ancestor with Zea mays	Paralogue %id. target Zea mays gene identical to query gene	Paralogue %id. query gene identical to target Zea mays gene	Paralogue dN with Zea mays	Paralogue dS with Zea mays
Zm00001d013723	Zm00001d013722	1e-20	09_Poaceae	15.4286	16.2162	0.6321	65.9352
Zm00001d023399	Zm00001d023398	5e-142	10_Panicoideae	53.5088	47.5634	0.2574	2.7101
Zm00001d014352	Zm00001d014351	1e-173	12_Zea mays	71.261	70.8455	0.1827	0.3258
Zm00001d052480	Zm00001d052479	2e-115	11_Andropogoneae	59.6882	53.7074	0.2235	0.988
Zm00001d008602	Zm00001d008601	3e-45	09_Poaceae	32.7759	73.1343	0.1299	1.0854
Zm00001d016844	Zm00001d016842	2e-74	10_Panicoideae	51.0588	66.1585	0.2067	1.3461
Zm00001d053331	Zm00001d053329	4e-84	12_Zea mays	94.3089	94.3089	0.0261	0.106
Zm00001d052993	Zm00001d052992	0.0	09_Poaceae	55.8176	31.6964	0.316	0.947
Zm00001d032885	Zm00001d032884	2e-144	12_Zea mays	97.6303	81.746	0.009	0.2334
Zm00001d026251	Zm00001d026250	5e-87	09_Poaceae	47.931	50.9158	0.3046	158.2083
Zm00001d049419	Zm00001d049418	1e-164	12_Zea mays	98.2456	98.2456	0.0081	0.0528
Zm00001d027888	Zm00001d027887	9e-43	05_Magnoliophyta	28.8608	34.8624	0.5718	95.6711
Zm00001d039420	Zm00001d039419	8e-68	12_Zea mays	82.2115	99.4186	0.0023	0.0145
Zm00001d026370	Zm00001d026369	2e-171	10_Panicoideae	73.7609	68.9373	0.1423	0.9052
Zm00001d052684	Zm00001d052683	0.0	12_Zea mays	98.0609	93.8992	0.0093	0.0254
Zm00001d003184	Zm00001d003183	0.0	12_Zea mays	87.7437	82.8947	0.0371	0.1656
Zm00001d017737	Zm00001d017736	6e-112	12_Zea mays	68.5185	95.8549	0.0209	0.1936
Zm00001d033607	Zm00001d033606	4e-53	06_Mesangiospermae	52.0833	58.1395	0.2001	0.5888
Zm00001d045892	Zm00001d045891	1e-45	12_Zea mays	98.374	98.374	0.0064	0
Zm00001d019291	Zm00001d019290	8e-51	10_Panicoideae	39.2617	47.561	0.3242	1.8554
Zm00001d010233	Zm00001d010232	5e-154	12_Zea mays	80.8594	97.6415	0.0093	0.0367
Zm00001d019302	Zm00001d019300	6e-28	12_Zea mays	54.0698	67.8832	0.2086	0.4846
Zm00001d031204	Zm00001d031203	4e-84	10_Panicoideae	71.261	73.8602	0.1474	0.816
Zm00001d002020	Zm00001d002019	0.0	11_Andropogoneae	64.6939	76.57	0.1327	0.8512
Zm00001d048871	Zm00001d048870	1e-113	09_Poaceae	53.8793	54.9451	0.2852	1.7171
Zm00001d027979	Zm00001d027978	4e-161	12_Zea mays	95.8333	77.261	0.0176	0.2336
Zm00001d023769	Zm00001d023768	6e-168	09_Poaceae	59.0452	61.1979	0.2195	1.3837
Zm00001d002261	Zm00001d002260	0.0	09_Poaceae	60.6516	50.8403	0.2487	1.456
Zm00001d025037	Zm00001d025036	0.0	12_Zea mays	80.7851	88.6621	0.0622	0.2843
Zm00001d020577	Zm00001d020573	9e-18	09_Poaceae	39.7163	36.6013	0.4804	97.3841
Zm00001d018854	Zm00001d018853	4e-159	10_Panicoideae	74.0741	75.3623	0.1065	0.9792
Zm00001d037091	Zm00001d037089	0.0	12_Zea mays	81.3688	77.1171	0.0857	0.5779
Zm00001d037681	Zm00001d037680	6e-57	09_Poaceae	63.7681	60.0683	0.2055	1.4609
Zm00001d040837	Zm00001d040836	4e-61	10_Panicoideae	87.3786	87.3786	0.0553	1.8223
Zm00001d005822	Zm00001d005821	0.0	12_Zea mays	88.0077	89.2157	0.0505	0.1169
Zm00001d043789	Zm00001d043787	2e-54	11_Andropogoneae	68.7747	72.8033	0.1385	0.5915
Zm00001d009083	Zm00001d009082	6e-47	12_Zea mays	98.2456	97.6744	0.0094	0.0268
Zm00001d017429	Zm00001d017427	0.0	09_Poaceae	69.7947	67.4221	0.1595	1.4912
Zm00001d002394	Zm00001d002393	4e-37	11_Andropogoneae	84.9315	82.6667	0.0656	0.6561
Zm00001d023323	Zm00001d023322	4e-57	12_Zea mays	29.9799	91.2245	0.0434	0.052
Zm00001d033490	Zm00001d033489	3e-49	09_Poaceae	34.384	39.2157	0.3794	2.4048
Zm00001d050091	Zm00001d050090	2e-74	09_Poaceae	45.9091	33.0065	0.3056	119.2945
Zm00001d051961	Zm00001d051959	0.0	12_Zea mays	97.9708	95.7936	0.0086	0.0177
Zm00001d002699	Zm00001d002698	0.0	09_Poaceae	66.8947	64.2576	0.201	2.0907
Zm00001d025888	Zm00001d025887	7e-87	09_Poaceae	74.0896	73.6769	0.1488	1.5992
Zm00001d024810	Zm00001d024809	1e-59	11_Andropogoneae	25.641	34.965	0.6733	2.0407
Zm00001d052990	Zm00001d052989	1e-167	11_Andropogoneae	70.7831	74.6032	0.1472	0.5521
Zm00001d032094	Zm00001d032091	3e-52	10_Panicoideae	81.203	81.8182	0.0841	0.6617
Zm00001d034096	Zm00001d034095	0.0	12_Zea mays	98.6072	98.3333	0.0056	0.0465
Zm00001d034067	Zm00001d034066	1e-165	09_Poaceae	50.7625	50.6522	0.3205	6.7248
Zm00001d026134	Zm00001d026133	2e-80	10_Panicoideae	55.4987	54.9367	0.2969	2.7286
Zm00001d032631	Zm00001d032630	3e-88	12_Zea mays	72.0238	95.2756	0.0119	0.0289
Zm00001d017736	Zm00001d017735	9e-111	12_Zea mays	94.8186	72.332	0.0252	0.2241
Zm00001d020280	Zm00001d020279	2e-149	09_Poaceae	49.6047	51.0163	0.3468	10.5168
Zm00001d002901	Zm00001d002899	2e-98	09_Poaceae	47.093	48.0712	0.3517	83.27
Zm00001d028069	Zm00001d028068	7e-22	12_Zea mays	23.3755	83.4337	0.0699	0.223
Zm00001d044208	Zm00001d044203	0.0	09_Poaceae	72.5256	75.8929	0.145	0.7319
Zm00001d012574	Zm00001d012573	0.0	10_Panicoideae	73.4815	74.5865	0.1299	0.6027
Zm00001d044050	Zm00001d044049	9e-146	09_Poaceae	56.2842	57.2222	0.2652	2.5084
Zm00001d035671	Zm00001d035670	0.0	09_Poaceae	45.8466	39.5317	0.4362	0.9556
Zm00001d021753	Zm00001d021747	2e-134	06_Mesangiospermae	56.2914	52.2541	0.2681	4.1289
Zm00001d027535	Zm00001d027534	4e-12	09_Poaceae	58.0745	66.9052	0.1743	2.6244
Zm00001d033062	Zm00001d033061	2e-76	08_commelinids	72.1248	75.0507	0.1387	2.5726
Zm00001d002761	Zm00001d002760	4e-64	11_Andropogoneae	62.5397	55.3371	0.1693	1.0487
Zm00001d011926	Zm00001d011925	9e-57	10_Panicoideae	59.4059	58.8235	0.21	1.684
Zm00001d040426	Zm00001d040423	5e-61	11_Andropogoneae	47.8417	44.6309	0.209	1.6048
Zm00001d041571	Zm00001d041570	0.0	10_Panicoideae	71.3636	71.3636	0.1502	1.1725
Zm00001d038186	Zm00001d038185	0.0	09_Poaceae	48.7437	55.4286	0.281	3.6076
Zm00001d021689	Zm00001d021688	0.0	09_Poaceae	50.3086	47.3837	0.3532	3.7383
Zm00001d027996	Zm00001d027995	3e-167	09_Poaceae	58.5784	63.5638	0.2193	3.1567
Zm00001d032492	Zm00001d032491	0.0	12_Zea mays	90.8854	91.3613	0.0402	0.0351
Zm00001d035163	Zm00001d035162	0.0	06_Mesangiospermae	79.3017	67.3729	0.1012	1.2471
Zm00001d002017	Zm00001d002016	4e-93	11_Andropogoneae	95.1049	94.4444	0.0204	0.2262
Zm00001d002313	Zm00001d002312	0.0	09_Poaceae	12.5	12	0.1886	0.8158
Zm00001d009653	Zm00001d009652	1e-42	12_Zea mays	85.8333	40.7115	0.0993	0.1278
Zm00001d015052	Zm00001d015047	0.0	12_Zea mays	36.3344	88.6274	0.0698	0.1949
Zm00001d037250	Zm00001d037249	0.0	10_Panicoideae	71.8884	73.7885	0.1225	0.825
Zm00001d022284	Zm00001d022283	2e-172	12_Zea mays	81.5857	91.1429	0.0438	0.3265
Zm00001d032448	Zm00001d032447	2e-22	10_Panicoideae	63.6364	54.902	0.2087	3.2707
Zm00001d017019	Zm00001d017014	6e-13	10_Panicoideae	55.7377	55.2846	0.2632	1.865
Zm00001d013788	Zm00001d013787	5e-108	09_Poaceae	64.876	66.2447	0.2161	1.8313
Zm00001d049423	Zm00001d049421	5e-165	12_Zea mays	98.2533	98.2533	0.0105	0.0367
Zm00001d022036	Zm00001d022035	0.0	12_Zea mays	92.0128	81.1268	0.0459	0.1543
Zm00001d034432	Zm00001d034431	7e-76	05_Magnoliophyta	50.3876	52.2088	0.324	7.3796
Zm00001d003356	Zm00001d003355	3e-25	11_Andropogoneae	40.9091	55.6701	0.3396	0.7946
Zm00001d022082	Zm00001d022081	0.0	05_Magnoliophyta	61.9687	60.2174	0.2067	18.832
Zm00001d028070	Zm00001d028069	1e-35	12_Zea mays	82.9187	42.1941	0.0694	0.2137
Zm00001d046319	Zm00001d046318	0.0	09_Poaceae	58.5551	58.0038	0.2603	2.6009
Zm00001d018629	Zm00001d018628	5e-56	11_Andropogoneae	62.8571	68.0412	0.1786	0.9996
Zm00001d004772	Zm00001d004771	0.0	12_Zea mays	98.1535	98.1535	0.0094	0.0053
Zm00001d042130	Zm00001d042128	5e-76	10_Panicoideae	50.2222	38.4354	0.3647	0.7457
Zm00001d035681	Zm00001d035680	5e-33	11_Andropogoneae	56.1905	80.8219	0.1035	1.3581
Zm00001d018630	Zm00001d018628	1e-21	09_Poaceae	50.3759	34.5361	0.3125	2.9822
Zm00001d048807	Zm00001d048806	1e-56	12_Zea mays	83.4646	79.6992	0.1026	0.2238
Zm00001d018847	Zm00001d018846	6e-86	11_Andropogoneae	66.6667	72.7273	0.1333	0.7372
Zm00001d038414	Zm00001d038413	5e-172	12_Zea mays	65.2709	66.5829	0.169	0.2525
Zm00001d011418	Zm00001d011417	0.0	09_Poaceae	57.4205	57.7265	0.2653	2.9404
Zm00001d024771	Zm00001d024770	4e-70	09_Poaceae	58.9888	62.8743	0.2361	0.8251
Zm00001d006536	Zm00001d006535	0.0	11_Andropogoneae	64.5358	64.3399	0.19	1.3149
Zm00001d023304	Zm00001d023303	0.0	12_Zea mays	77.3946	79.5276	0.1217	0.1784
Zm00001d021734	Zm00001d021733	2e-40	12_Zea mays	85.7143	97.6744	0.0165	0.0225
Zm00001d042750	Zm00001d042749	2e-13	09_Poaceae	35.3448	34.4538	0.4707	6.4011
Zm00001d016393	Zm00001d016391	3e-162	12_Zea mays	82.218	96.4126	0.0133	0.0472
Zm00001d019304	Zm00001d019303	1e-57	09_Poaceae	51.1211	53.7736	0.2855	2.6246
Zm00001d023216	Zm00001d023215	0.0	09_Poaceae	66.1572	64.7436	0.1885	1.2865
Zm00001d053402	Zm00001d053401	4e-147	10_Panicoideae	67.7711	31.5568	0.2283	0.9301
Zm00001d033892	Zm00001d033891	0.0	10_Panicoideae	74.5205	67.4938	0.1322	0.7885
Zm00001d018650	Zm00001d018649	0.0	12_Zea mays	73.4341	70.5394	0.0929	0.4647
Zm00001d032054	Zm00001d032053	6e-172	12_Zea mays	88.587	86.4721	0.0299	0.0333
Zm00001d030095	Zm00001d030094	8e-88	09_Poaceae	27.0552	27.957	0.805	67.8476
Zm00001d006342	Zm00001d006340	7e-161	09_Poaceae	41.4258	66.9782	0.2123	0.673
Zm00001d028988	Zm00001d028987	0.0	06_Mesangiospermae	41.2651	29.9781	0.1959	146.08681
Zm00001d048192	Zm00001d048191	9e-46	09_Poaceae	57.8704	31.25	0.289	1.4816
Zm00001d041985	Zm00001d041984	4e-94	09_Poaceae	47.7011	48.538	0.3541	14.9742
Zm00001d035112	Zm00001d035111	3e-178	12_Zea mays	96.0784	77.1654	0.0168	0.505
Zm00001d002159	Zm00001d002158	3e-44	12_Zea mays	79.5699	84.0909	0.0729	0.3308
Zm00001d005787	Zm00001d005786	8e-60	12_Zea mays	100	100	0	0
Zm00001d019214	Zm00001d019213	1e-60	11_Andropogoneae	50.1706	54.8507	0.3077	0.9924
Zm00001d011319	Zm00001d011315	0.0	09_Poaceae	72.7273	73.6842	0.1598	1.9948
Zm00001d001964	Zm00001d001963	1e-23	09_Poaceae	52.1127	51.7483	0.255	8.8553
Zm00001d014957	Zm00001d014954	3e-124	12_Zea mays	99.4012	92.2222	0.008	0.0926
Zm00001d024211	Zm00001d024210	0.0	12_Zea mays	95.9927	96.1679	0.0177	0.0434
Zm00001d049032	Zm00001d049031	0.0	11_Andropogoneae	56.2674	80.8	0.094	0.5593
Zm00001d011260	Zm00001d000422	2e-28	11_Andropogoneae	46.4912	80.303	0.0983	0.2659
Zm00001d045158	Zm00001d045157	1e-27	10_Panicoideae	33.7232	44.359	0.4064	2.5022
Zm00001d028355	Zm00001d028354	0.0	09_Poaceae	62.459	64.3581	0.2282	1.959
Zm00001d034642	Zm00001d034641	2e-28	09_Poaceae	53.7931	45.0867	0.2971	10.3004
Zm00001d017478	Zm00001d017477	4e-37	06_Mesangiospermae	36.965	34.296	0.3699	84.9118
Zm00001d013230	Zm00001d013229	0.0	09_Poaceae	61.1236	66.0194	0.1836	1.1237
Zm00001d049842	Zm00001d049841	3e-68	12_Zea mays	95	97.4359	0.011	0.1452
Zm00001d029708	Zm00001d029707	2e-66	09_Poaceae	61.039	61.8421	0.2246	2.4703
Zm00001d020958	Zm00001d020957	2e-169	09_Poaceae	71.7514	69.0217	0.1665	1.1369
Zm00001d028680	Zm00001d028679	6e-118	05_Magnoliophyta	42.8826	34.8266	0.4126	107.4589
Zm00001d035552	Zm00001d035551	5e-95	10_Panicoideae	45.283	42.8571	0.3245	1.6928
Zm00001d031779	Zm00001d031778	1e-134	10_Panicoideae	67.7852	69.4158	0.1394	0.9886
Zm00001d029478	Zm00001d029476	9e-89	10_Panicoideae	67.5926	37.3402	0.1431	0.941
Zm00001d034307	Zm00001d034305	1e-75	12_Zea mays	94.9153	94.9153	0.0226	0.0508
Zm00001d010593	Zm00001d010592	3e-18	10_Panicoideae	47.6744	51.25	0.3379	1.1508
Zm00001d023228	Zm00001d023227	5e-77	07_Petrosaviidae	32.3993	37.0742	0.4357	61.8934
Zm00001d033891	Zm00001d033890	0.0	10_Panicoideae	72.9529	69.8337	0.1348	1.0278
Zm00001d029702	Zm00001d029701	4e-80	09_Poaceae	70.3125	31.3589	0.1727	1.6172
Zm00001d007258	Zm00001d007257	3e-135	09_Poaceae	63.1728	64.4509	0.1852	66.0981
Zm00001d035162	Zm00001d035161	0.0	06_Mesangiospermae	66.1017	75.5448	0.1213	1.3173
Zm00001d042099	Zm00001d042098	6e-138	11_Andropogoneae	82.4561	83.1858	0.0962	0.3048
Zm00001d041777	Zm00001d041776	0.0	12_Zea mays	91.4035	91.8871	0.04	0.2247
Zm00001d023506	Zm00001d023504	7e-161	12_Zea mays	99.1031	99.1031	0.0059	0.0204
Zm00001d028497	Zm00001d028495	0.0	09_Poaceae	75.641	70.0297	0.1356	1.4054
Zm00001d043166	Zm00001d043165	2e-121	08_commelinids	46.383	45.9916	0.4094	53.4405
Zm00001d035756	Zm00001d035753	2e-133	09_Poaceae	61.4286	63.0499	0.2132	2.0957
Zm00001d034418	Zm00001d034417	6e-117	12_Zea mays	80.829	80.829	0.0843	0.3297
Zm00001d046766	Zm00001d046765	8e-147	09_Poaceae	54.5877	52.1064	0.3306	2.2251
Zm00001d002436	Zm00001d002435	1e-151	09_Poaceae	65.6535	65.6535	0.1962	1.8273
Zm00001d053530	Zm00001d053529	3e-27	12_Zea mays	51.0638	92.3077	0.0343	0.2006
Zm00001d005190	Zm00001d005189	0.0	09_Poaceae	67.9287	63.278	0.1779	1.4418
Zm00001d033379	Zm00001d033378	5e-30	03_Embryophyta	31.3559	17.0507	0.583	15.8056
Zm00001d028816	Zm00001d028815	1e-98	10_Panicoideae	85.625	85.625	0.0619	0.7961
Zm00001d048872	Zm00001d048871	1e-179	09_Poaceae	65.368	65.0862	0.1887	0.9871
Zm00001d049260	Zm00001d049259	2e-166	10_Panicoideae	87.5	86.9654	0.0614	0.6715
Zm00001d037519	Zm00001d037518	0.0	10_Panicoideae	66.7105	64.586	0.1922	0.5465
Zm00001d053514	Zm00001d053513	3e-161	09_Poaceae	58.5567	56.4612	0.2817	1.9457
